"school","ward","amind","asian","black","hispanic","white","multiple","at-risk","ell","swd","lea_name","entity","total","p_amind","p_asian","p_black","p_hispanic","p_multiple","p_white","p_ell","p_swd","p_at-risk","w_total","w_amind","w_asian","w_black","w_hispanic","w_multiple","w_white","w_at-risk","w_ell","w_swd","ls_ward","p_ward","dc_total","dc_amind","dc_asian","dc_black","dc_hispanic","dc_white","dc_multiple","dc_at.risk","dc_ell","dc_swd","ls_dc","p_dc"
"Capital City PCS - High School","4",0,3.52,116.16,218.24,10.56,7.04,140.8,63.36,77.44,"Capital City PCS","Charter",352,0,0.01,0.33,0.62,0.02,0.03,0.18,0.22,0.4,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.128267593959759,0.0223462423026083,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.453003662351791,0.00380117234176679
"Capital City PCS - Lower School","4",0,6.48,74.52,194.4,38.88,9.72,100.44,184.68,38.88,"Capital City PCS","Charter",324,0,0.02,0.23,0.6,0.03,0.12,0.57,0.12,0.31,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.0998667389865112,0.0203650498032321,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.465197507272245,0.00346416471290628
"Capital City PCS - Middle School","4",0,3.32,109.56,179.28,19.92,23.24,102.92,109.56,66.4,"Capital City PCS","Charter",332,0,0.01,0.33,0.54,0.07,0.06,0.33,0.2,0.31,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.0790545283547713,0.0210765694445056,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.353685819367466,0.00358519664053004
"District of Columbia International School","4",0,43.26,447.02,591.22,245.14,115.36,302.82,201.88,245.14,"District of Columbia International School","Charter",1442,0,0.03,0.31,0.41,0.08,0.17,0.14,0.17,0.21,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.0534489834187679,0.0906370426427801,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.252042833615834,0.0154176713457125
"E.L. Haynes PCS - Elementary School","4",3.5,3.5,140,126,66.5,10.5,136.5,136.5,52.5,"E.L. Haynes PCS","Charter",350,0.01,0.01,0.4,0.36,0.03,0.19,0.39,0.15,0.39,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.0222972438282674,0.0219992821948495,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.150275755921514,0.00374215323925061
"E.L. Haynes PCS - High School","4",9.08,4.54,163.44,254.24,13.62,13.62,245.16,108.96,113.5,"E.L. Haynes PCS","Charter",454,0.02,0.01,0.36,0.56,0.03,0.03,0.24,0.25,0.54,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.12655849611576,0.0288215738789323,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.410616939454005,0.00490264841807422
"E.L. Haynes PCS - Middle School","1",0,3.86,119.66,254.76,7.72,7.72,177.56,158.26,84.92,"E.L. Haynes PCS","Charter",386,0,0.01,0.31,0.66,0.02,0.02,0.41,0.22,0.46,9578,0,0.0193088327416997,0.36725203591564,0.534208603048653,0.0166579661724786,0.0635372729171017,0.384558362915014,0.286900187930674,0.123489768218835,0.0409468096290058,0.0410670850004798,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.526059141912493,0.004209601638165
"Elsie Whitlow Stokes Community Freedom PCS - Brookland","5",0,7.14,139.23,64.26,110.67,39.27,28.56,49.98,53.55,"Elsie Whitlow Stokes Community Freedom PCS","Charter",357,0,0.02,0.39,0.18,0.11,0.31,0.14,0.15,0.08,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.270700402530218,0.0208225535217644,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.225746222145983,0.00385516626707598
"Elsie Whitlow Stokes Community Freedom PCS - East End","7",0,2.26,135.6,24.86,31.64,31.64,33.9,15.82,18.08,"Elsie Whitlow Stokes Community Freedom PCS","Charter",226,0,0.01,0.6,0.11,0.14,0.14,0.07,0.08,0.15,12386,0.000532859680284192,0.00158243177781366,0.947239625383498,0.0360326174713386,0.00818020345551429,0.00609720652349427,0.680920393993218,0.0253100274503472,0.208306152107218,0.703216978172483,0.0182525228459398,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.136765516833465,0.00241636180591611
"Inspired Teaching Demonstration PCS","5",0,10.28,195.32,35.98,221.02,51.4,71.96,35.98,102.8,"Inspired Teaching Demonstration PCS","Charter",514,0,0.02,0.38,0.07,0.1,0.43,0.07,0.2,0.14,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.441153862507484,0.0296829811414896,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.399752728328586,0.00549561932849947
"Lee Montessori PCS - Brookland","5",0,7.59,80.96,15.18,129.03,22.77,32.89,0,55.66,"Lee Montessori PCS","Charter",253,0,0.03,0.32,0.06,0.09,0.51,0,0.22,0.13,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.600958759399835,0.0147565995546398,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.540905001536277,0.00273209262064488
"Lee Montessori PCS - East End","8",1.29,1.29,81.27,5.16,34.83,6.45,28.38,1.29,20.64,"Lee Montessori PCS","Charter",129,0.01,0.01,0.63,0.04,0.05,0.27,0.01,0.16,0.22,15293,8.43523180540116e-05,0.000733015104949977,0.97020466880272,0.0156136794611914,0.00580265480938992,0.00412868632707775,0.770581311711241,0.0121892369057739,0.171091348983195,1.05185710372164,0.00854893212164955,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.174148859815065,0.00139304327297703
"Social Justice PCS","5",0,0,44.16,3.84,0,0,34.08,2.88,11.04,"Social Justice PCS","Charter",48,0,0,0.92,0.08,0,0,0.06,0.23,0.71,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.202339091963719,0.00277195154628697,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.258739495268462,0.000513209587097227
"Two Rivers PCS - 4th Street","6",0,3.93,204.36,19.65,121.83,39.3,86.46,15.72,66.81,"Two Rivers PCS","Charter",393,0,0.01,0.52,0.05,0.1,0.31,0.04,0.17,0.22,11124,0.000828838547285149,0.0117619561308882,0.720559151384394,0.0604018338727076,0.0382605177993527,0.166179431859044,0.476245055735347,0.0397779575692197,0.191790722761597,0.117803143333385,0.0350461102213543,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.243312609701346,0.00415988445941496
"Two Rivers PCS - Young Elementary School","5",0,3.84,192,30.72,115.2,42.24,69.12,11.52,65.28,"Two Rivers PCS","Charter",384,0,0.01,0.5,0.08,0.11,0.3,0.03,0.17,0.18,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.226548262381667,0.0221756123702958,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.217761185540262,0.00410567669677781
"Two Rivers PCS - Young Middle School","5",0,1.97,153.66,15.76,19.7,7.88,63.04,5.91,57.13,"Two Rivers PCS","Charter",197,0,0.01,0.78,0.08,0.04,0.1,0.03,0.29,0.32,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.0243377757766996,0.011490316649265,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.0584056293736947,0.00212736065718198
"Washington Latin PCS - Middle School","4",0,11.43,121.92,41.91,179.07,30.48,26.67,19.05,41.91,"Washington Latin PCS","Charter",381,0,0.03,0.32,0.11,0.08,0.47,0.05,0.11,0.07,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.435846601916173,0.0241872679468573,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.435396764062668,0.00411433710856008
"Washington Latin PCS - Upper School","4",0,10.59,162.38,35.3,120.02,21.18,63.54,7.06,52.95,"Washington Latin PCS","Charter",353,0,0.03,0.46,0.1,0.06,0.34,0.02,0.15,0.18,15908,0.00160736736233342,0.0143129243148102,0.419392758360573,0.396674000502892,0.0318430978124214,0.136271058586875,0.390991325119437,0.308112270555695,0.164234347498114,0.288729778667599,0.0219659689960973,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.203852502868752,0.00373648655005975
"Washington Yu Ying PCS","5",0,57.7,196.18,40.39,150.02,138.48,51.93,86.55,69.24,"Washington Yu Ying PCS","Charter",577,0,0.1,0.34,0.07,0.24,0.26,0.15,0.12,0.09,17325,0.000957575757575758,0.01397113997114,0.700162193362193,0.146457142857143,0.0339722943722944,0.103978643578644,0.440520057720058,0.0970366522366523,0.174032323232323,0.590586044563055,0.0336543792214512,93611,0.000736024612492122,0.0160037816068624,0.644412301973059,0.187023747209195,0.122966318060912,0.027982288406277,0.480702588371025,0.12529884308468,0.164728984841525,0.590664486912911,0.00623089898068023
