"district","swd","total"
"Acadiana Renaissance Charter Academy",0.0621428571428571,1400
"Advantage Charter Academy",0.0868725868725869,518
"Athlos Academy of Jefferson Parish",0.0840743734842361,1237
"Avoyelles Public Charter School",0.0572289156626506,664
"Belle Chasse Academy",0.112514351320321,871
"Collegiate Baton Rouge",0.158008658008658,462
"D'Arbonne Woods Charter School",0.110515021459227,932
"Delhi Charter School",0.0837696335078534,764
"GEO Next Generation High School",0.0769230769230769,195
"GEO Prep Academy of Greater Baton Rouge",0.123943661971831,710
"GEO Prep Mid-City of Greater Baton Rouge",0.12125748502994,668
"Iberville Charter Academy",0.0988593155893536,526
"Impact Charter School",0.0748129675810474,401
"International School of Louisiana",0.0759101471727343,1291
"JCFA Lafayette",0.194029850746269,67
"JCFA-East",0.120218579234973,183
"JS Clark Leadership Academy",0.05,248
"Lake Charles College Prep",0.11439842209073,507
"Lincoln Preparatory School",0.186291739894552,569
"Louisiana Key Academy",0.585081585081585,429
"Louisiana Virtual Charter Academy",0.140698280354351,1919
"Lycee Francais de la Nouvelle-Orleans",0.100558659217877,1074
"New Harmony High Institute",0.211764705882353,170
"New Orleans Military & Maritime Academy",0.0801603206412826,998
"New Vision Learning Academy",0.0921985815602837,282
"Noble Minds",0.224299065420561,107
"Northeast Claiborne Charter",0.111111111111111,180
"Red River Charter Academy",0.05,270
"Southwest Louisiana Charter Academy",0.115321252059308,607
"The MAX Charter School",0.25,120
"University View Academy, Inc. (FRM LA Connections)",0.124033228301346,3491
"V. B. Glencoe Charter School",0.110024449877751,409
"Willow Charter Academy",0.101449275362319,621
"Jefferson Parish",0.133795451282787,48761
"Orleans Parish",0.137954777664253,45022
"Orleans Parish",0.330097087378641,45022
"Plaquemines Parish",0.145344436033308,3963
"St. Bernard Parish",0.114018455315384,7911
"St. Charles Parish",0.112539862154099,9721
"St. James Parish",0.149137451307735,3594
"St. John the Baptist Parish",0.142479280550168,5671
"St. Tammany Parish",0.186936335983777,37478
