"district","school","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_frpl","p_ell","p_swd","c_amind","c_asian","c_black","c_hisp","c_white","c_mult","c_frpl","c_ell","c_swd"
"KANSAS CITY 33","ACADEMIE LAFAYETTE - ARMOUR",285,0,0,0.185964912280702,0.0491228070175439,0.673684210526316,0.0736842105263158,0.164912280701754,0.0210526315789474,0.101754385964912,0,0,53,14,192,21,47,6,29
"KANSAS CITY 33","Academie Lafayette - Oak",493,0,0,0.235294117647059,0.0405679513184584,0.596348884381339,0.119675456389452,0.212981744421907,0.0101419878296146,0.0831643002028398,0,0,116,20,294,59,105,5,41
"KANSAS CITY 33","ACADEMIE LAFAYETTE-CHERRY",376,0,0.0212765957446809,0.242021276595745,0.0638297872340425,0.523936170212766,0.140957446808511,0.234042553191489,0,0.0664893617021277,0,8,91,24,197,53,88,0,25
"ST. LOUIS CITY","CITY GARDEN MONTESSORI SCHOOL",205,0,0,0.458536585365854,0.024390243902439,0.453658536585366,0.0536585365853659,0.307317073170732,0,0.0975609756097561,0,0,94,5,93,11,63,0,20
"KANSAS CITY 33","CROSSROADS - CENTRAL STREET",360,0,0,0.419444444444444,0.147222222222222,0.361111111111111,0.0611111111111111,0.552777777777778,0.05,0.0861111111111111,0,0,151,53,130,22,199,18,31
"KANSAS CITY 33","CROSSROADS - QUALITY HILL",275,0,0,0.349090909090909,0.203636363636364,0.370909090909091,0.0654545454545455,0.6,0.08,0.0654545454545455,0,0,96,56,102,18,165,22,18
"KANSAS CITY 33","CROSSROADS PREPARATORY ACADEMY",398,0,0.0150753768844221,0.457286432160804,0.266331658291457,0.193467336683417,0.0603015075376884,0.650753768844221,0.0979899497487437,0.130653266331658,0,6,182,106,77,24,259,39,52
"ST. LOUIS CITY","KAIROS ACADEMIES",233,0,0.0515021459227468,0.510729613733906,0,0.278969957081545,0.137339055793991,0.600858369098712,0,0.128755364806867,0,12,119,0,65,32,140,0,30
"ST. LOUIS CITY","LAFAYETTE PREPARATORY ACADEMY",390,0,0,0.366666666666667,0.0564102564102564,0.482051282051282,0.0871794871794872,0.28974358974359,0.0564102564102564,0.153846153846154,0,0,143,22,188,34,113,22,60
"KANSAS CITY 33","MIDDLE SCHOOL CAMPUS",64,0,0,0.34375,0.078125,0.40625,0.15625,0.546875,0,0.15625,0,0,22,5,26,10,35,0,10
"KANSAS CITY 33","PRIMARY GRADES CAMPUS",455,0,0,0.406593406593407,0.112087912087912,0.358241758241758,0.10989010989011,0.512087912087912,0.0373626373626374,0.123076923076923,0,0,185,51,163,50,233,17,56
