FIPSCode,LocationType,Location,ParentCounty,TimeFrame,DataFormat,Data
0,Nation,United States,,2019,Percent,14.1
0,Nation,United States,,2019,Number,"7,134,248"
0,Nation,United States,,2018,Number,"6,964,424"
0,Nation,United States,,2018,Percent,13.7
0,Nation,United States,,2017,Number,"6,802,402"
0,Nation,United States,,2017,Percent,13.4
0,Nation,United States,,2016,Number,"6,676,974"
0,Nation,United States,,2016,Percent,13.2
0,Nation,United States,,2015,Number,"6,555,291"
0,Nation,United States,,2015,Percent,13.0
0,Nation,United States,,2014,Number,"6,464,096"
0,Nation,United States,,2014,Percent,12.9
0,Nation,United States,,2013,Number,"6,429,331"
0,Nation,United States,,2013,Percent,12.9
0,Nation,United States,,2012,Number,"6,401,282"
0,Nation,United States,,2012,Percent,12.9
0,Nation,United States,,2011,Number,"6,436,234"
0,Nation,United States,,2011,Percent,13.0
06,State,California,,2011,Number,"678,929"
06,State,California,,2011,Percent,10.9
06,State,California,,2012,Number,"686,352"
06,State,California,,2012,Percent,11.0
06,State,California,,2013,Number,"695,173"
06,State,California,,2013,Percent,11.2
06,State,California,,2014,Number,"705,279"
06,State,California,,2014,Percent,11.3
06,State,California,,2015,Number,"717,961"
06,State,California,,2015,Percent,11.5
06,State,California,,2016,Number,"734,422"
06,State,California,,2016,Percent,11.8
06,State,California,,2017,Number,"754,122"
06,State,California,,2017,Percent,12.1
06,State,California,,2018,Number,"774,665"
06,State,California,,2018,Percent,12.5
06,State,California,,2019,Number,"795,047"
06,State,California,,2019,Percent,12.8
06081,County,San Mateo County,,2019,Number,"11,267"
06081,County,San Mateo County,,2019,Percent,12.0
06081,County,San Mateo County,,2017,Number,"10,612"
06081,County,San Mateo County,,2017,Percent,11.1
06081,County,San Mateo County,,2018,Number,"10,960"
06081,County,San Mateo County,,2018,Percent,11.5
06081,County,San Mateo County,,2016,Number,"10,174"
06081,County,San Mateo County,,2016,Percent,10.7
06081,County,San Mateo County,,2015,Number,"10,162"
06081,County,San Mateo County,,2015,Percent,10.7
06081,County,San Mateo County,,2014,Number,"10,113"
06081,County,San Mateo County,,2014,Percent,10.7
06081,County,San Mateo County,,2013,Number,"10,187"
06081,County,San Mateo County,,2013,Percent,10.8
06081,County,San Mateo County,,2012,Number,"10,232"
06081,County,San Mateo County,,2012,Percent,10.9
06081,County,San Mateo County,,2011,Number,"10,268"
06081,County,San Mateo County,,2011,Percent,11.1
06604200,School District,Bayshore Elementary,San Mateo County,2011,Number,64
06604200,School District,Bayshore Elementary,San Mateo County,2011,Percent,11.8
06604200,School District,Bayshore Elementary,San Mateo County,2012,Number,57
06604200,School District,Bayshore Elementary,San Mateo County,2012,Percent,11.8
06604200,School District,Bayshore Elementary,San Mateo County,2013,Number,47
06604200,School District,Bayshore Elementary,San Mateo County,2013,Percent,12.1
06604200,School District,Bayshore Elementary,San Mateo County,2014,Number,49
06604200,School District,Bayshore Elementary,San Mateo County,2014,Percent,13.2
06604200,School District,Bayshore Elementary,San Mateo County,2015,Number,41
06604200,School District,Bayshore Elementary,San Mateo County,2015,Percent,10.8
06604200,School District,Bayshore Elementary,San Mateo County,2016,Number,50
06604200,School District,Bayshore Elementary,San Mateo County,2016,Percent,13.0
06604200,School District,Bayshore Elementary,San Mateo County,2017,Number,48
06604200,School District,Bayshore Elementary,San Mateo County,2017,Percent,13.0
06604200,School District,Bayshore Elementary,San Mateo County,2018,Number,51
06604200,School District,Bayshore Elementary,San Mateo County,2018,Percent,13.5
06604200,School District,Bayshore Elementary,San Mateo County,2019,Number,58
06604200,School District,Bayshore Elementary,San Mateo County,2019,Percent,15.3
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2019,Number,464
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2019,Percent,10.8
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2018,Number,463
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2018,Percent,10.7
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2017,Number,467
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2017,Percent,11.0
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2016,Number,472
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2016,Percent,11.6
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2015,Number,495
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2015,Percent,12.7
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2014,Number,469
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2014,Percent,12.6
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2013,Number,447
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2013,Percent,12.4
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2012,Number,421
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2012,Percent,12.5
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2011,Number,413
06604530,School District,Belmont_Redwood Shores Elementary,San Mateo County,2011,Percent,12.9
06606060,School District,Brisbane Elementary,San Mateo County,2011,Number,66
06606060,School District,Brisbane Elementary,San Mateo County,2011,Percent,12.1
06606060,School District,Brisbane Elementary,San Mateo County,2012,Number,64
06606060,School District,Brisbane Elementary,San Mateo County,2012,Percent,11.9
06606060,School District,Brisbane Elementary,San Mateo County,2013,Number,53
06606060,School District,Brisbane Elementary,San Mateo County,2013,Percent,10.2
06606060,School District,Brisbane Elementary,San Mateo County,2014,Number,49
06606060,School District,Brisbane Elementary,San Mateo County,2014,Percent,10.2
