Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2022-1 Data Report
"October 5, 2021 (FTE 2022-1)"
 
System ID, System Name,School ID,  Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"","State-Wide","State-Wide","Female","149440","1725","38044","313431","873","310425","38018"
"","State-Wide","State-Wide","Male","156913","1788","40047","320955","934","329304","38978"
"","State-Wide","State-Wide","Total","306353","3513","78091","634386","1807","639729","76996"
"601","Appling County","0103-Appling County High School","Female","84","*","*","113","*","288","19"
"601","Appling County","0103-Appling County High School","Male","79","*","*","127","*","293","18"
"601","Appling County","0103-Appling County High School","Total","163","*","*","240","*","581","37"
"601","Appling County","0177-Appling County Elementary School","Female","75","*","*","71","*","112","*"
"601","Appling County","0177-Appling County Elementary School","Male","55","*","*","53","*","111","*"
"601","Appling County","0177-Appling County Elementary School","Total","130","*","*","124","*","223","*"
"601","Appling County","0195-Appling County Middle School","Female","71","*","*","103","*","196","*"
"601","Appling County","0195-Appling County Middle School","Male","79","*","*","74","*","232","22"
"601","Appling County","0195-Appling County Middle School","Total","150","*","*","177","*","428","*"
"601","Appling County","0277-Appling County Primary School","Female","72","*","*","75","*","166","*"
"601","Appling County","0277-Appling County Primary School","Male","67","*","*","74","*","167","16"
"601","Appling County","0277-Appling County Primary School","Total","139","*","*","149","*","333","*"
"601","Appling County","1050-Altamaha Elementary School","Female","19","*","*","*","*","159","*"
"601","Appling County","1050-Altamaha Elementary School","Male","*","*","*","*","*","162","*"
"601","Appling County","1050-Altamaha Elementary School","Total","*","*","*","*","*","321","*"
"601","Appling County","5050-Fourth District Elementary School","Female","*","*","*","*","*","45","*"
"601","Appling County","5050-Fourth District Elementary School","Male","*","*","*","*","*","52","*"
"601","Appling County","5050-Fourth District Elementary School","Total","*","*","*","*","*","97","*"
"602","Atkinson County","0103-Atkinson County High School","Female","96","*","*","31","*","86","*"
"602","Atkinson County","0103-Atkinson County High School","Male","86","*","*","32","*","101","*"
"602","Atkinson County","0103-Atkinson County High School","Total","182","*","*","63","*","187","*"
"602","Atkinson County","0111-Atkinson County Middle School","Female","70","*","*","28","*","78","*"
"602","Atkinson County","0111-Atkinson County Middle School","Male","83","*","*","34","*","75","*"
"602","Atkinson County","0111-Atkinson County Middle School","Total","153","*","*","62","*","153","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Female","22","*","*","17","*","47","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Male","25","*","*","24","*","29","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Total","47","*","*","41","*","76","*"
"602","Atkinson County","0190-Pearson Elementary School","Female","151","*","*","38","*","111","*"
"602","Atkinson County","0190-Pearson Elementary School","Male","141","*","*","35","*","140","*"
"602","Atkinson County","0190-Pearson Elementary School","Total","292","*","*","73","*","251","*"
"603","Bacon County","0102-Bacon County Primary School","Female","40","*","*","79","*","149","*"
"603","Bacon County","0102-Bacon County Primary School","Male","40","*","*","79","*","161","17"
"603","Bacon County","0102-Bacon County Primary School","Total","80","*","*","158","*","310","*"
"603","Bacon County","0202-Bacon County Middle School","Female","35","*","*","54","*","152","*"
"603","Bacon County","0202-Bacon County Middle School","Male","41","*","*","47","*","146","*"
"603","Bacon County","0202-Bacon County Middle School","Total","76","*","*","101","*","298","*"
"603","Bacon County","0302-Bacon County High School","Female","49","*","*","55","*","185","*"
"603","Bacon County","0302-Bacon County High School","Male","49","*","*","58","*","186","*"
"603","Bacon County","0302-Bacon County High School","Total","98","*","*","113","*","371","*"
"603","Bacon County","3050-Bacon County Elementary School","Female","29","*","*","49","*","111","*"
"603","Bacon County","3050-Bacon County Elementary School","Male","36","*","*","49","*","134","20"
"603","Bacon County","3050-Bacon County Elementary School","Total","65","*","*","98","*","245","*"
"604","Baker County","0105-Baker County K12 School","Female","*","*","*","86","*","35","*"
"604","Baker County","0105-Baker County K12 School","Male","26","*","*","87","*","39","*"
"604","Baker County","0105-Baker County K12 School","Total","*","*","*","173","*","74","*"
"605","Baldwin County","0100-Oak Hill MS","Female","19","*","*","375","*","118","33"
"605","Baldwin County","0100-Oak Hill MS","Male","21","*","*","368","*","132","25"
"605","Baldwin County","0100-Oak Hill MS","Total","40","*","*","743","*","250","58"
"605","Baldwin County","0189-Baldwin High School","Female","24","*","*","481","*","114","27"
"605","Baldwin County","0189-Baldwin High School","Male","28","*","*","442","*","120","19"
"605","Baldwin County","0189-Baldwin High School","Total","52","*","*","923","*","234","46"
"605","Baldwin County","0300-Lakeview Academy","Female","20","*","*","208","*","77","*"
"605","Baldwin County","0300-Lakeview Academy","Male","*","*","*","209","*","88","21"
"605","Baldwin County","0300-Lakeview Academy","Total","*","*","*","417","*","165","*"
"605","Baldwin County","0301-Midway Hills Primary","Female","*","*","*","141","*","72","18"
"605","Baldwin County","0301-Midway Hills Primary","Male","*","*","*","157","*","65","*"
"605","Baldwin County","0301-Midway Hills Primary","Total","*","*","*","298","*","137","*"
"605","Baldwin County","0302-Lakeview Primary","Female","28","*","*","284","*","95","26"
"605","Baldwin County","0302-Lakeview Primary","Male","19","*","*","248","*","93","31"
"605","Baldwin County","0302-Lakeview Primary","Total","47","*","*","532","*","188","57"
"605","Baldwin County","0303-Midway Hills Academy","Female","*","*","*","162","*","67","18"
"605","Baldwin County","0303-Midway Hills Academy","Male","*","*","*","151","*","68","18"
"605","Baldwin County","0303-Midway Hills Academy","Total","*","*","*","313","*","135","36"
"606","Banks County","0105-Banks County Middle School","Female","44","*","*","*","*","235","17"
"606","Banks County","0105-Banks County Middle School","Male","35","*","*","*","*","293","15"
"606","Banks County","0105-Banks County Middle School","Total","79","*","*","*","*","528","32"
"606","Banks County","0107-Banks County Elementary School","Female","25","*","*","*","*","253","*"
"606","Banks County","0107-Banks County Elementary School","Male","27","*","*","*","*","259","*"
"606","Banks County","0107-Banks County Elementary School","Total","52","*","*","*","*","512","*"
"606","Banks County","0199-Banks County High School","Female","46","*","*","*","*","356","*"
"606","Banks County","0199-Banks County High School","Male","51","*","*","*","*","388","*"
"606","Banks County","0199-Banks County High School","Total","97","*","*","*","*","744","*"
"606","Banks County","0205-Banks County Primary School","Female","35","*","*","*","*","253","23"
"606","Banks County","0205-Banks County Primary School","Male","45","*","*","*","*","289","17"
"606","Banks County","0205-Banks County Primary School","Total","80","*","*","*","*","542","40"
"607","Barrow County","0101-Apalachee High School","Female","209","*","33","147","*","482","41"
"607","Barrow County","0101-Apalachee High School","Male","259","*","43","158","*","479","54"
"607","Barrow County","0101-Apalachee High School","Total","468","*","76","305","*","961","95"
"607","Barrow County","0105-County Line Elementary School","Female","46","*","15","16","*","172","*"
"607","Barrow County","0105-County Line Elementary School","Male","80","*","*","17","*","169","25"
"607","Barrow County","0105-County Line Elementary School","Total","126","*","*","33","*","341","*"
"607","Barrow County","0106-Haymon-Morris Middle School","Female","106","*","*","84","*","174","20"
"607","Barrow County","0106-Haymon-Morris Middle School","Male","92","*","*","83","*","217","20"
"607","Barrow County","0106-Haymon-Morris Middle School","Total","198","*","*","167","*","391","40"
"607","Barrow County","0114-Bear Creek Middle School","Female","57","*","*","48","*","170","16"
"607","Barrow County","0114-Bear Creek Middle School","Male","93","*","22","42","*","157","*"
"607","Barrow County","0114-Bear Creek Middle School","Total","150","*","*","90","*","327","*"
"607","Barrow County","0189-Kennedy Elementary School","Female","131","*","16","74","*","187","40"
"607","Barrow County","0189-Kennedy Elementary School","Male","131","*","26","86","*","177","25"
"607","Barrow County","0189-Kennedy Elementary School","Total","262","*","42","160","*","364","65"
"607","Barrow County","0193-Bramlett Elementary School","Female","71","*","19","23","*","209","21"
"607","Barrow County","0193-Bramlett Elementary School","Male","69","*","30","17","*","197","16"
"607","Barrow County","0193-Bramlett Elementary School","Total","140","*","49","40","*","406","37"
"607","Barrow County","0198-Westside Middle School","Female","97","*","16","67","*","165","23"
"607","Barrow County","0198-Westside Middle School","Male","110","*","18","65","*","161","33"
"607","Barrow County","0198-Westside Middle School","Total","207","*","34","132","*","326","56"
"607","Barrow County","0205-Bethlehem Elementary School","Female","95","*","21","30","*","248","30"
"607","Barrow County","0205-Bethlehem Elementary School","Male","80","*","*","49","*","239","20"
"607","Barrow County","0205-Bethlehem Elementary School","Total","175","*","*","79","*","487","50"
"607","Barrow County","0289-Russell Middle School","Female","95","*","24","51","*","230","25"
"607","Barrow County","0289-Russell Middle School","Male","119","*","31","48","*","263","26"
"607","Barrow County","0289-Russell Middle School","Total","214","*","55","99","*","493","51"
