Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2021 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 0277 - Appling County Primary School,90.28
601,Appling County, 0177 - Appling County Elementary School,90.38
601,Appling County, 1050 - Altamaha Elementary School,90.37
601,Appling County, 5050 - Fourth District Elementary School,90.48
601,Appling County, 0195 - Appling County Middle School,90.4
601,Appling County, 0103 - Appling County High School,90.34
602,Atkinson County, 0187 - Willacoochee Elementary School,90.73
602,Atkinson County, 0190 - Pearson Elementary School,86.01
602,Atkinson County, 0103 - Atkinson County High School,80.26
602,Atkinson County, 0111 - Atkinson County Middle School,85.87
761,Atlanta Public Schools, 1411 - B.E.S.T Academy,*
761,Atlanta Public Schools, 1413 - Carver High School,*
761,Atlanta Public Schools, 0305 - Burgess-Peterson Elementary School,14.11
761,Atlanta Public Schools, 5051 - Benteen Elementary School,*
761,Atlanta Public Schools, 2564 - Mary Lin Elementary School,#
761,Atlanta Public Schools, 4058 - Frederick Douglass High School,*
761,Atlanta Public Schools, 1064 - L. O. Kimberly Elementary School,*
761,Atlanta Public Schools, 0115 - Kipp Strive Charter School,94.81
761,Atlanta Public Schools, 0214 - KIPP Vision Primary Charter School,94.95
761,Atlanta Public Schools, 1415 - Woodson Park Academy School,*
761,Atlanta Public Schools, 0104 - John Wesley Dobbs Elementary School,*
761,Atlanta Public Schools, 1053 - William M.Boyd Elementary School,*
761,Atlanta Public Schools, 2053 - Morris Brandon Elementary School,#
761,Atlanta Public Schools, 0288 - Judson Price Middle School,*
761,Atlanta Public Schools, 1418 - John Lewis Invictus Academy,*
761,Atlanta Public Schools, 0201 - Charles R. Drew Charter School,34.14
761,Atlanta Public Schools, 0505 - Atlanta Neighborhood Charter - Elementary,5.58
761,Atlanta Public Schools, 1560 - Garden Hills Elementary School,45.5
761,Atlanta Public Schools, 5562 - Joseph Humphries Elementary School,*
761,Atlanta Public Schools, 3057 - Continental Colony Elementary School,*
761,Atlanta Public Schools, 0101 - Parkside Elementary School,41.83
761,Atlanta Public Schools, 4560 - Midtown High School,9.82
761,Atlanta Public Schools, 0604 - Bazoline E. Usher/Collier Heights Elmentary School,*
761,Atlanta Public Schools, 0212 - Kipp Atlanta Collegiate Charter School,94.98
761,Atlanta Public Schools, 0373 - Martin L. King Jr. Middle School,*
761,Atlanta Public Schools, 2563 - Jackson Elementary School,#
761,Atlanta Public Schools, 3065 - Peyton Forest Elementary School,*
761,Atlanta Public Schools, 0213 - KIPP Strive Primary Charter School,94.91
761,Atlanta Public Schools, 0180 - Ralph Bunche Middle School,*
761,Atlanta Public Schools, 1409 - D. M. Therrell High School,*
761,Atlanta Public Schools, 0515 - Charles Drew Charter JA/SR Academy,44.53
761,Atlanta Public Schools, 0282 - Jean Childs Young Middle School,*
761,Atlanta Public Schools, 1416 - Tuskegee Airman Global Academy,*
761,Atlanta Public Schools, 2062 - The John Hope-Charles Walter Hill Elementary Schools,*
761,Atlanta Public Schools, 0106 - G.W. Carver High School Early College,*
761,Atlanta Public Schools, 4063 - M. A. Jones Elementary School,*
761,Atlanta Public Schools, 3051 - Beecher Hills Elementary School,*
761,Atlanta Public Schools, 0123 - The Kindezi School,*
761,Atlanta Public Schools, 1063 - Emma Hutchinson Elementary School,*
761,Atlanta Public Schools, 0513 - Miles Elementary School,*
761,Atlanta Public Schools, 0105 - Finch Elementary,*
761,Atlanta Public Schools, 3559 - R. N. Fickett Elementary School,*
761,Atlanta Public Schools, 1567 - Sara Rawson Smith Elementary School,18.09
761,Atlanta Public Schools, 4066 - Thomas Heathe Slater Elementary School,*
761,Atlanta Public Schools, 0173 - Crawford Long Middle School,*
761,Atlanta Public Schools, 1417 - Kindezi Old 4th Ward,*
761,Atlanta Public Schools, 1422 - KIPP Soul Academy,*
761,Atlanta Public Schools, 2569 - West Manor Elementary School,*
761,Atlanta Public Schools, 5567 - Fred A. Toomer Elementary School,42.86
761,Atlanta Public Schools, 0314 - Westside Atlanta Charter School,50.6
761,Atlanta Public Schools, 0296 - T. J. Perkerson Elementary School,*
761,Atlanta Public Schools, 1412 - South Atlanta High School,*
761,Atlanta Public Schools, 5566 - F. L. Stanton Elementary School,*
761,Atlanta Public Schools, 0188 - Sylvan Hills Middle School,*
761,Atlanta Public Schools, 0215 - Kipp WAYS Primary Charter School,94.85
761,Atlanta Public Schools, 0403 - Hank Aaron New Beginnings Academy,*
