Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2021 Data Report
 
System ID, System Name,KK-12 % FRL
601,Appling County,90.36
602,Atkinson County,84.71
761,Atlanta Public Schools,68.78
603,Bacon County,72.73
604,Baker County,*
605,Baldwin County,92.88
606,Banks County,51.56
607,Barrow County,45.86
608,Bartow County,51.82
609,Ben Hill County,82.21
610,Berrien County,64.8
611,Bibb County,*
612,Bleckley County,59.02
613,Brantley County,71.2
763,Bremen City,15.73
614,Brooks County,*
615,Bryan County,30.07
764,Buford City,31.5
616,Bulloch County,59.79
617,Burke County,*
618,Butts County,88.57
765,Calhoun City,55.26
619,Calhoun County,*
620,Camden County,44.9
621,Candler County,84.11
622,Carroll County,55.72
766,Carrollton City,48.47
767,Cartersville City,43.94
623,Catoosa County,41.77
624,Charlton County,71.15
626,Chattahoochee County,73.62
627,Chattooga County,69.62
628,Cherokee County,27.58
769,Chickamauga City,16.26
773,City Schools of Decatur,8.7
629,Clarke County,77.42
630,Clay County,*
631,Clayton County,92.55
632,Clinch County,74.26
633,Cobb County,39.14
634,Coffee County,87.34
635,Colquitt County,86.21
636,Columbia County,26.27
771,Commerce City,42.53
637,Cook County,74.11
638,Coweta County,35
639,Crawford County,59.62
640,Crisp County,*
641,Dade County,50.8
772,Dalton Public Schools,64.9
642,Dawson County,37.64
644,DeKalb County,68.56
643,Decatur County,*
891,Department of Juvenile Justice,*
645,Dodge County,77.07
646,Dooly County,*
647,Dougherty County,*
648,Douglas County,55.14
774,Dublin City,*
649,Early County,*
650,Echols County,91.26
651,Effingham County,36.47
652,Elbert County,74.38
653,Emanuel County,86.82
654,Evans County,*
655,Fannin County,51.68
656,Fayette County,25.29
657,Floyd County,59.23
658,Forsyth County,13.68
659,Franklin County,48.8
660,Fulton County,42.17
776,Gainesville City,69.53
661,Gilmer County,59.22
662,Glascock County,58.67
663,Glynn County,57.83
664,Gordon County,56.06
665,Grady County,*
666,Greene County,59.13
726,Griffin-Spalding County,66.34
667,Gwinnett County,50.3
668,Habersham County,53.67
669,Hall County,50.28
670,Hancock County,*
671,Haralson County,70.91
672,Harris County,29.35
673,Hart County,49.55
674,Heard County,56.84
675,Henry County,44.68
676,Houston County,54.39
677,Irwin County,74.78
678,Jackson County,28.79
679,Jasper County,55.69
680,Jeff Davis County,78.01
779,Jefferson City,22.09
681,Jefferson County,*
682,Jenkins County,*
683,Johnson County,94.38
684,Jones County,52.02
685,Lamar County,60.31
686,Lanier County,86.24
687,Laurens County,84.84
688,Lee County,41.55
689,Liberty County,65.56
690,Lincoln County,61.82
691,Long County,58.85
692,Lowndes County,43.76
693,Lumpkin County,41.54
694,Macon County,*
695,Madison County,53.8
781,Marietta City,57.66
696,Marion County,82.54
697,McDuffie County,84.92
698,McIntosh County,85.56
699,Meriwether County,88.02
700,Miller County,*
701,Mitchell County,*
702,Monroe County,42.1
703,Montgomery County,94.83
704,Morgan County,40.58
705,Murray County,65.03
706,Muscogee County,77.55
707,Newton County,61.58
708,Oconee County,12.84
709,Oglethorpe County,57.82
710,Paulding County,40.05
711,Peach County,75.08
784,Pelham City,*
712,Pickens County,46.67
713,Pierce County,57.93
714,Pike County,31.96
715,Polk County,85.54
716,Pulaski County,84.79
717,Putnam County,*
718,Quitman County,*
719,Rabun County,59.49
720,Randolph County,*
721,Richmond County,92.06
722,Rockdale County,55.57
785,Rome City,87.77
625,Savannah-Chatham County,59.66
723,Schley County,46.43
724,Screven County,78.48
725,Seminole County,*
786,Social Circle City,35.24
7830623,State Charter Schools II- Academy For Classical Education,13.32
7830410,State Charter Schools II- Atlanta Heights Charter School,*
7830632,State Charter Schools II- Atlanta Unbound Academy,#
7830630,State Charter Schools II- Baconton Community Charter School,55.74
7830613,State Charter Schools II- Brookhaven Innovation Academy,9.21
7830611,State Charter Schools II- Cirrus Charter Academy,*
7830610,State Charter Schools II- Coweta Charter Academy,18.34
7830633,State Charter Schools II- D.E.L.T.A. STEAM Academy,#
7830628,State Charter Schools II- Ethos Classical Charter School,75.93
7830310,State Charter Schools II- Fulton Leadership Academy,56.45
7830626,State Charter Schools II- Furlow Charter School,65.11
7830615,State Charter Schools II- Genesis Innovation Academy for Boys,49.6
7830616,State Charter Schools II- Genesis Innovation Academy for Girls,51.25
7830634,State Charter Schools II- Georgia Fugees Academy Charter School,#
7830629,State Charter Schools II- Harriet Tubman School of Science & Technology,21.26
7830619,State Charter Schools II- International Academy of Smyrna,54.43
7830620,State Charter Schools II- International Charter Academy of Georgia,#
7830614,State Charter Schools II- Liberty Tech Charter Academy,8.39
7830210,State Charter Schools II- Pataula Charter Academy,59.04
7830617,State Charter Schools II- Resurgence Hall Charter School,71.34
7830618,State Charter Schools II- SAIL Charter Academy - School for Arts-Infused Learning,12.68
7830621,State Charter Schools II- SLAM Academy of Atlanta,86.96
7830612,State Charter Schools II- Southwest Georgia S.T.E.M. Charter Academy,63.87
7830624,State Charter Schools II- Spring Creek Charter Academy,61.47
7830103,State Charter Schools II- Statesboro STEAM Academy,65.48
7830625,State Charter Schools II- Yi Hwang Academy of Language Excellence,5.66
7820212,State Charter Schools- Cherokee Charter Academy,12.71
7820618,State Charter Schools- Coastal Plains Charter High School,78.77
7820617,State Charter Schools- Dubois Integrity Academy,90.66
7820613,State Charter Schools- Foothills Charter High School (Central Office - Athens),64.4
7820412,State Charter Schools- Georgia Connections Academy,36
7820120,State Charter Schools- Georgia Cyber Academy,42.39
7820616,State Charter Schools- Georgia School for Innovation and the Classics,#
7820614,State Charter Schools- International Charter School of Atlanta,#
7820612,State Charter Schools- Ivy Preparatory Academy  Inc,78.3
7820108,State Charter Schools- Mountain Education Charter High School,#
7820110,State Charter Schools- Odyssey Charter School,43.07
