Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Ada504 Pct,Ada504 Cnt,FARMS Pct,FARMS Cnt,English Learner Pct,English Learner Cnt,Migrant Pct,Migrant Cnt,Students with Disabilities Pct,Students with Disabilities Cnt,Title1 Pct,Title1 Cnt,Homeless Pct,Homeless Cnt,Foster Care Pct,Foster Care Cnt,Military Connected Pct,Military Connected Cnt,Economically Disadvantaged Pct,Economically Disadvantaged Cnt,Total Student Cnt,Create Date
2021,01,Allegany,0301,Flintstone Elementary,Elementary,*,*,47.8,96,*,*,*,*,11.9,24,*,*,*,*,*,*,*,*,40.3,81,201,20211020
2021,01,Allegany,0401,South Penn Elementary,Elementary,*,*,69.5,341,*,*,*,*,20.0,98,>= 95.0,*,*,*,*,*,*,*,69.2,340,491,20211020
2021,01,Allegany,0402,John Humbird Elementary,Elementary,*,*,77.9,187,*,*,*,*,17.1,41,>= 95.0,*,*,*,*,*,*,*,77.9,187,240,20211020
2021,01,Allegany,0405,Fort Hill High,High,<= 5.0,*,45.7,301,*,*,*,*,13.7,90,*,*,*,*,*,*,*,*,38.0,250,658,20211020
2021,01,Allegany,0406,Washington Middle,Middle,*,*,54.5,326,*,*,*,*,14.9,89,*,*,*,*,*,*,*,*,46.7,279,598,20211020
2021,01,Allegany,0502,Northeast Elementary,Elementary,*,*,57.1,156,*,*,*,*,12.5,34,>= 95.0,*,*,*,*,*,*,*,45.4,124,273,20211020
2021,01,Allegany,0504,Braddock Middle,Middle,<= 5.0,*,52.2,321,*,*,*,*,12.2,75,*,*,*,*,*,*,*,*,42.8,263,615,20211020
2021,01,Allegany,0601,Center for Career & Technical Education,High,*,*,53.0,133,*,*,*,*,15.9,40,*,*,*,*,*,*,*,*,41.0,103,251,20211020
2021,01,Allegany,0603,West Side Elementary,Elementary,*,*,59.4,180,*,*,*,*,10.6,32,>= 95.0,*,*,*,*,*,*,*,52.8,160,303,20211020
2021,01,Allegany,0606,Allegany High,High,<= 5.0,*,41.0,301,*,*,*,*,8.4,62,*,*,*,*,*,*,*,*,32.9,242,735,20211020
2021,01,Allegany,0701,Cresaptown Elementary,Elementary,*,*,50.7,145,*,*,*,*,17.8,51,>= 95.0,*,*,*,*,*,*,*,41.3,118,286,20211020
2021,01,Allegany,0702,Bel Air Elementary,Elementary,*,*,48.0,107,*,*,*,*,16.1,36,*,*,*,*,*,*,*,*,34.5,77,223,20211020
2021,01,Allegany,0801,Westernport Elementary,Elementary,*,*,52.6,132,*,*,*,*,15.9,40,>= 95.0,*,*,*,*,*,*,*,52.6,132,251,20211020
2021,01,Allegany,0802,Westmar Middle,Middle,*,*,58.7,145,*,*,*,*,17.0,42,*,*,*,*,*,*,*,*,49.0,121,247,20211020
2021,01,Allegany,1001,George's Creek Elementary,Elementary,*,*,52.9,128,*,*,*,*,13.2,32,>= 95.0,*,*,*,*,*,*,*,52.9,128,242,20211020
2021,01,Allegany,1101,Frost Elementary,Elementary,*,*,24.7,47,*,*,*,*,12.1,23,*,*,*,*,*,*,*,*,16.8,32,190,20211020
2021,01,Allegany,1301,Mount Savage Middle,Middle,*,*,44.9,172,*,*,*,*,9.1,35,*,*,*,*,*,*,*,*,34.5,132,383,20211020
2021,01,Allegany,1302,Mt. Savage Elementary,Elementary,*,*,59.8,113,*,*,*,*,18.5,35,>= 95.0,*,*,*,*,*,*,*,46.0,87,189,20211020
2021,01,Allegany,2404,Mountain Ridge High School,High,<= 5.0,*,39.2,300,*,*,*,*,9.7,74,*,*,*,*,*,*,*,*,30.2,231,765,20211020
2021,01,Allegany,2801,Beall Elementary,Elementary,*,*,54.8,249,*,*,*,*,14.3,65,>= 95.0,*,*,*,*,*,*,*,39.6,180,454,20211020
2021,01,Allegany,2901,Cash Valley Elementary,Elementary,*,*,58.0,160,*,*,*,*,25.7,71,>= 95.0,*,*,*,*,*,*,*,48.2,133,276,20211020
2021,01,Allegany,2902,Parkside Elementary,Elementary,*,*,60.3,111,*,*,*,*,18.5,34,*,*,*,*,*,*,*,*,51.6,95,184,20211020
2021,01,Allegany,A,All Allegany Schools,Elementary,<= 5.0,*,56.6,2152,<= 5.0,*,*,*,16.2,616,79.0,3005,<= 5.0,*,<= 5.0,*,<= 5.0,*,49.3,1874,3803,20211020
2021,01,Allegany,A,All Allegany Schools,Middle,<= 5.0,*,52.3,964,*,*,*,*,13.1,241,*,*,*,*,*,*,<= 5.0,*,43.1,795,1843,20211020
