SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","49001","24776","24225","75","727","40012","6788","36","1219","144","0","3145","3933","4186","3962","4068","3872","3552","3345","3462","4058","3964","3418","3378","40620","7141","5600"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00005","A.L. Holmes Academy of Blended Learning","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","414","209","205","0","1","412","0","0","1","0","0","31","43","53","48","57","43","59","40","40","0","0","0","0","376","69","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03645","Academy of the Americas at Logan","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","404","193","211","0","0","23","369","0","12","0","0","103","96","107","98","0","0","0","0","0","0","0","0","0","305","36","266"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03276","Academy of The Americas High School","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","706","353","353","1","0","17","680","0","8","0","0","0","0","0","0","107","89","80","98","114","66","58","53","41","521","63","547"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00103","Ann Arbor Trail Magnet School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","208","110","98","0","0","198","2","0","8","0","0","17","32","22","23","28","21","28","18","19","0","0","0","0","193","18","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00168","Bagley Elementary School of Journalism and Technology","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","354","185","169","1","0","351","1","0","0","1","0","41","55","59","52","57","44","46","0","0","0","0","0","0","311","43","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03640","Barton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","149","76","73","0","0","144","0","0","5","0","0","16","25","26","23","30","29","0","0","0","0","0","0","0","137","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02882","Bates Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","787","348","439","1","0","785","1","0","0","0","0","71","75","78","78","83","89","107","105","101","0","0","0","0","431","44","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00865","Benjamin Carson High School of Science and Medicine","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","305","125","180","1","40","224","3","5","29","3","0","0","0","0","0","0","0","0","0","0","51","86","72","96","258","27","56"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00277","Bennett Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","467","238","229","2","0","32","381","0","50","2","0","67","79","81","73","91","76","0","0","0","0","0","0","0","393","30","261"
