MI School Data,
Student Count Entity Breakdown Detroit Public Schools Community District (82015): 2020-21 / All Grades / Race/Ethnicity / All Students,
Location Name,School Year,Grade,Student Group,Crosstab,Student Count,
Statewide,2020-21,All Grades,All Students,All Students,"1,437,612",
Wayne RESA,2020-21,All Grades,All Students,All Students,"262,830",
Detroit Public Schools Community District,2020-21,All Grades,All Students,All Students,"49,001",
Ann Arbor Trail Magnet School,2020-21,All Grades,All Students,All Students,208,
Bagley Elementary School of Journalism and Technology,2020-21,All Grades,All Students,All Students,354,
Palmer Park Preparatory Academy,2020-21,All Grades,All Students,All Students,463,
Bates Academy,2020-21,All Grades,All Students,All Students,787,
Bennett Elementary School,2020-21,All Grades,All Students,All Students,467,
Mary McLeod Bethune Elementary-Middle School,2020-21,All Grades,All Students,All Students,595,
Blackwell Institute,2020-21,All Grades,All Students,All Students,351,
Bow Elementary-Middle School,2020-21,All Grades,All Students,All Students,497,
Breithaupt Career and Technical Center,2020-21,All Grades,All Students,All Students,1,
Brewer Academy,2020-21,All Grades,All Students,All Students,505,
Ronald Brown Academy,2020-21,All Grades,All Students,All Students,717,
Bunche Preparatory Academy,2020-21,All Grades,All Students,All Students,464,
Burns Elementary-Middle School,2020-21,All Grades,All Students,All Students,377,
Burton International Academy,2020-21,All Grades,All Students,All Students,567,
Carleton Elementary School,2020-21,All Grades,All Students,All Students,387,
Carstens Elementary-Middle School,2020-21,All Grades,All Students,All Students,283,
Carver STEM Academy,2020-21,All Grades,All Students,All Students,379,
Cass Technical High School,2020-21,All Grades,All Students,All Students,"2,465",
Central High School,2020-21,All Grades,All Students,All Students,310,
Chrysler Elementary School,2020-21,All Grades,All Students,All Students,124,
J. E. Clark Preparatory Academy,2020-21,All Grades,All Students,All Students,352,
Roberto Clemente Learning Academy,2020-21,All Grades,All Students,All Students,604,
Clippert Academy,2020-21,All Grades,All Students,All Students,427,
Communication and Media Arts High School,2020-21,All Grades,All Students,All Students,492,
Cooke STEM Academy,2020-21,All Grades,All Students,All Students,365,
Davis Aerospace Technical High School at Golightly,2020-21,All Grades,All Students,All Students,143,
Davison Elementary-Middle School,2020-21,All Grades,All Students,All Students,825,
Denby High School,2020-21,All Grades,All Students,All Students,582,
Detroit International Academy for Young Women,2020-21,All Grades,All Students,All Students,200,
Detroit Lions Academy,2020-21,All Grades,All Students,All Students,93,
Detroit School of Arts,2020-21,All Grades,All Students,All Students,445,
Dixon Elementary School,2020-21,All Grades,All Students,All Students,538,
Dossin Elementary-Middle School,2020-21,All Grades,All Students,All Students,391,
Frederick Douglass Academy for Young Men,2020-21,All Grades,All Students,All Students,70,
Durfee Elementary-Middle School,2020-21,All Grades,All Students,All Students,500,
Edison Elementary School,2020-21,All Grades,All Students,All Students,322,
"Edward ""Duke"" Ellington at Beckham",2020-21,All Grades,All Students,All Students,519,
Emerson Elementary-Middle School,2020-21,All Grades,All Students,All Students,620,
Moses Field Center,2020-21,All Grades,All Students,All Students,60,
Fisher Magnet Lower Academy,2020-21,All Grades,All Students,All Students,473,
Fisher Magnet Upper Academy,2020-21,All Grades,All Students,All Students,444,
Henry Ford High School,2020-21,All Grades,All Students,All Students,747,
