SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","","All Districts","","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","Wayne Region","         3","262830","134516","128314","580","10889","108603","23334","174","112512","6738","1487","18451","20138","20261","19806","20378","19863","20031","20392","20874","21572","21143","19542","19052","169560","32484","34333"
"20 - 21 School Year","82","Wayne RESA","82921","Academy for Business and Technology","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","539","283","256","2","0","447","60","0","17","13","0","33","40","43","46","41","53","29","43","39","45","54","41","32","501","83","45"
"20 - 21 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","136","130","6","1","0","86","7","0","39","3","0","0","0","0","0","0","0","0","5","14","20","47","24","26","136","33","<10"
"20 - 21 School Year","82","Wayne RESA","82717","Achieve Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","Wayne Region","         3","792","383","409","0","419","119","23","1","187","43","0","89","91","92","87","89","86","86","85","87","0","0","0","0","158","52","148"
"20 - 21 School Year","82","Wayne RESA","63914","Advanced Technology Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","Wayne Region","         3","1260","615","645","1","1","937","260","4","53","4","24","79","85","88","99","86","76","98","99","106","132","113","101","98","1151","100","217"
"20 - 21 School Year","82","Wayne RESA","82020","Allen Park Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","Wayne Region","         3","3742","1923","1819","15","24","96","564","3","2938","102","0","278","251","241","250","260","287","285","290","314","297","307","333","333","1298","445","108"
"20 - 21 School Year","82","Wayne RESA","82730","American International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","660","343","317","0","2","638","2","2","5","11","0","61","60","70","52","55","53","53","47","48","53","55","31","22","632","75","<10"
"20 - 21 School Year","82","Wayne RESA","82981","American Montessori Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","480","255","225","4","11","278","17","0","125","45","0","74","67","60","48","53","56","42","40","40","0","0","0","0","300","39","12"
"20 - 21 School Year","82","Wayne RESA","82933","Barack Obama Leadership Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","Wayne Region","         3","248","129","119","0","0","247","0","0","1","0","0","39","37","50","32","48","42","0","0","0","0","0","0","0","241","18","<10"
"20 - 21 School Year","82","Wayne RESA","82705","Branch Line School","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","Wayne Region","         3","129","69","60","0","0","26","7","1","95","0","0","12","12","17","12","16","16","18","15","11","0","0","0","0","47","25","<10"
"20 - 21 School Year","82","Wayne RESA","82983","Bridge Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","1015","452","563","0","130","22","1","0","862","0","0","103","100","81","85","82","80","102","114","118","13","39","63","35","1015","37","685"
"20 - 21 School Year","82","Wayne RESA","82745","Caniff Liberty Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","Wayne Region","         3","475","231","244","1","165","92","0","0","217","0","0","42","49","59","55","56","57","55","52","50","0","0","0","0","474","26","272"
"20 - 21 School Year","82","Wayne RESA","82968","Canton Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","Wayne Region","         3","744","377","367","1","327","132","35","3","192","54","0","90","89","88","87","87","86","75","74","68","0","0","0","0","185","52","190"
"20 - 21 School Year","82","Wayne RESA","82711","Canton Preparatory High School","","All Buildings","82","Wayne","PSA District","Middle_High School","Suburb: Large","Wayne Region","         3","417","208","209","0","52","152","37","1","158","17","76","0","0","0","0","0","0","0","0","0","138","137","75","67","161","41","34"
"20 - 21 School Year","82","Wayne RESA","82752","Capstone Academy Charter School (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","159","94","65","2","0","111","7","2","36","1","0","0","0","0","0","0","0","7","8","15","36","43","27","23","159","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82918","Cesar Chavez Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","Wayne Region","         3","2208","1107","1101","3","0","65","2056","0","78","6","0","139","132","149","148","131","149","208","221","217","193","188","169","164","2166","309","1398"
"20 - 21 School Year","82","Wayne RESA","82923","Chandler Park Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","2128","1034","1094","1","0","2123","1","0","1","2","0","73","152","131","153","149","151","169","191","214","218","224","158","145","1873","100","<10"
"20 - 21 School Year","82","Wayne RESA","82996","Clara B. Ford Academy (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","Wayne Region","         3","92","0","92","0","0","48","5","0","32","7","0","0","0","0","0","0","0","0","7","14","16","22","22","11","92","37","<10"
