"Year","LEA","_____LEA Name_____","School","School Name","INDIAN Male","INDIAN Female","ASIAN Male","ASIAN Female","HISPANIC Male","HISPANIC Female","BLACK Male","BLACK Female","WHITE Male","WHITE Female","PACIFIC ISLAND  Male","PACIFIC ISLAND  Female","TWO OR MORE Male","TWO OR MOREFemale","Total"
"2021","600","Charlotte-Mecklenburg County Schools","300","Albemarle Road Elementary","0","0","65","54","238","186","110","117","7","10","2","0","1","5","795"
"2021","600","Charlotte-Mecklenburg County Schools","301","Albemarle Road Middle","2","1","41","42","237","242","166","159","17","28","1","0","7","8","951"
"2021","600","Charlotte-Mecklenburg County Schools","302","Ardrey Kell High School","4","4","419","388","185","176","225","213","881","861","1","3","41","36","3,437"
"2021","600","Charlotte-Mecklenburg County Schools","303","Charlotte East Language Academy","0","2","37","30","209","217","72","80","10","17","0","0","1","3","678"
"2021","600","Charlotte-Mecklenburg County Schools","304","Rea Farms STEAM Academy","2","1","119","116","38","54","65","44","162","156","2","1","14","10","784"
"2021","600","Charlotte-Mecklenburg County Schools","305","J. M. Alexander Middle","1","3","14","17","116","138","265","271","53","35","0","0","14","11","938"
"2021","600","Charlotte-Mecklenburg County Schools","308","Allenbrook Elementary","0","0","19","6","30","22","88","79","3","2","0","0","9","5","263"
"2021","600","Charlotte-Mecklenburg County Schools","311","Ashley Park PreK-8 School","2","2","4","0","24","19","149","151","2","1","0","0","5","2","361"
"2021","600","Charlotte-Mecklenburg County Schools","312","William Amos Hough High","1","1","29","51","174","149","143","107","845","907","1","2","44","31","2,485"
"2021","600","Charlotte-Mecklenburg County Schools","313","Bailey Middle","1","2","23","24","106","130","70","71","501","489","1","0","15","21","1,454"
"2021","600","Charlotte-Mecklenburg County Schools","314","Bain Elementary","1","1","20","23","60","50","75","74","267","289","0","1","18","21","900"
"2021","600","Charlotte-Mecklenburg County Schools","316","Barringer Academic Center","0","0","72","69","29","22","114","105","35","21","0","0","2","6","475"
"2021","600","Charlotte-Mecklenburg County Schools","317","Whitewater Middle","0","0","30","22","141","152","236","172","24","14","1","0","8","4","804"
"2021","600","Charlotte-Mecklenburg County Schools","318","Whitewater Academy","1","1","17","26","109","152","167","181","21","28","0","1","11","10","725"
"2021","600","Charlotte-Mecklenburg County Schools","319","Berryhill School","0","0","8","11","148","158","26","23","27","26","0","0","1","3","431"
"2021","600","Charlotte-Mecklenburg County Schools","322","Beverly Woods Elementary","0","1","49","38","26","18","29","27","234","227","1","0","10","12","672"
"2021","600","Charlotte-Mecklenburg County Schools","328","Barnette Elementary","2","1","15","12","45","49","61","80","197","178","0","0","14","12","666"
"2021","600","Charlotte-Mecklenburg County Schools","329","Briarwood Academy","0","0","31","33","185","186","108","97","8","6","0","0","2","5","661"
"2021","600","Charlotte-Mecklenburg County Schools","333","Carmel Middle","2","1","17","15","179","168","107","95","285","270","0","0","8","6","1,153"
"2021","600","Charlotte-Mecklenburg County Schools","334","Cato Middle College High School","0","0","3","11","6","22","27","57","20","16","0","0","2","2","166"
"2021","600","Charlotte-Mecklenburg County Schools","335","Billingsville Elementary","0","0","10","5","19","26","81","82","64","61","0","0","9","5","362"
"2021","600","Charlotte-Mecklenburg County Schools","336","Chantilly Montessori","0","0","8","2","8","11","17","20","97","96","0","0","7","5","271"
"2021","600","Charlotte-Mecklenburg County Schools","338","Clear Creek Elementary","1","1","4","10","87","58","71","81","64","54","0","0","9","6","446"
"2021","600","Charlotte-Mecklenburg County Schools","341","Cochrane Collegiate Academy","2","1","26","17","246","265","129","128","21","7","0","2","5","4","853"
"2021","600","Charlotte-Mecklenburg County Schools","344","Collinswood Language Academy","1","0","3","4","242","248","64","61","87","85","0","1","8","10","814"
"2021","600","Charlotte-Mecklenburg County Schools","345","Community House Middle","1","2","282","246","96","102","101","117","385","359","0","3","11","20","1,725"
"2021","600","Charlotte-Mecklenburg County Schools","346","Cornelius Elementary","1","0","13","14","44","43","43","30","180","189","0","0","11","11","579"
"2021","600","Charlotte-Mecklenburg County Schools","349","Cotswold Elementary","0","0","7","13","26","33","83","104","69","72","0","1","4","10","422"
"2021","600","Charlotte-Mecklenburg County Schools","351","Coulwood STEM Academy","0","3","6","11","85","81","244","203","21","14","0","0","6","6","680"
"2021","600","Charlotte-Mecklenburg County Schools","352","Crown Point Elementary","0","0","20","21","63","55","101","99","50","37","0","1","9","10","466"
"2021","600","Charlotte-Mecklenburg County Schools","353","Crestdale Middle","0","0","31","36","92","116","109","163","242","253","1","0","9","13","1,065"
"2021","600","Charlotte-Mecklenburg County Schools","357","Davidson K-8 School","2","1","9","11","48","64","26","34","339","345","1","2","12","11","905"
"2021","600","Charlotte-Mecklenburg County Schools","361","Butler High School","2","3","72","67","265","280","284","269","340","320","2","1","48","26","1,979"
"2021","600","Charlotte-Mecklenburg County Schools","362","David Cox Road Elementary","3","1","8","13","61","68","226","214","15","11","0","0","13","14","647"
"2021","600","Charlotte-Mecklenburg County Schools","364","Military and Global Leadership","0","0","2","0","56","54","40","27","8","4","0","0","3","2","196"
"2021","600","Charlotte-Mecklenburg County Schools","365","Devonshire Elementary","0","0","9","7","192","163","89","101","8","7","4","1","7","3","591"
"2021","600","Charlotte-Mecklenburg County Schools","366","Marie G Davis School","0","0","1","1","100","91","123","105","2","0","0","0","3","5","431"
"2021","600","Charlotte-Mecklenburg County Schools","367","Dilworth Elementary School: Latta Campus","0","0","4","3","23","17","28","38","84","89","0","1","4","2","293"
"2021","600","Charlotte-Mecklenburg County Schools","368","First Ward Creative Arts Acad","2","0","1","3","42","52","179","244","13","17","0","0","15","13","581"
"2021","600","Charlotte-Mecklenburg County Schools","369","Berewick Elementary","1","2","46","41","111","101","161","118","45","36","1","1","11","8","683"
"2021","600","Charlotte-Mecklenburg County Schools","374","Druid Hills Academy","0","0","5","6","20","17","155","156","1","0","0","0","3","3","366"
"2021","600","Charlotte-Mecklenburg County Schools","377","East Mecklenburg High School","2","3","76","73","349","342","379","423","235","183","0","1","19","21","2,106"
"2021","600","Charlotte-Mecklenburg County Schools","379","Eastover Elementary","0","0","2","2","10","8","44","47","133","125","0","0","7","8","386"
"2021","600","Charlotte-Mecklenburg County Schools","381","Eastway Middle","0","1","19","13","230","234","147","121","22","12","0","0","6","5","810"
"2021","600","Charlotte-Mecklenburg County Schools","382","Elizabeth Lane Elementary","2","1","81","73","35","50","27","22","287","302","1","0","16","10","907"
"2021","600","Charlotte-Mecklenburg County Schools","383","Elon Park Elementary","1","0","176","196","42","44","46","51","205","175","1","0","9","14","960"
"2021","600","Charlotte-Mecklenburg County Schools","384","Elizabeth Traditional Elem","2","1","6","10","41","43","153","171","30","20","0","0","5","8","490"
"2021","600","Charlotte-Mecklenburg County Schools","385","Endhaven Elementary","2","0","60","62","60","64","48","46","118","112","1","2","10","13","598"
"2021","600","Charlotte-Mecklenburg County Schools","386","Hawthorne Academy of Health Sciences","1","0","5","18","25","86","27","136","4","8","0","0","0","2","312"
"2021","600","Charlotte-Mecklenburg County Schools","392","Polo Ridge Elementary","1","2","110","123","20","18","18","22","152","148","0","0","14","17","645"
"2021","600","Charlotte-Mecklenburg County Schools","394","Francis Bradley Middle","0","0","22","24","86","87","195","191","242","210","0","2","27","22","1,108"
"2021","600","Charlotte-Mecklenburg County Schools","397","Garinger High School","0","1","30","55","368","337","330","289","34","20","0","1","19","14","1,498"
"2021","600","Charlotte-Mecklenburg County Schools","398","Greenway Park Elementary","0","0","4","3","86","75","130","140","22","14","1","0","8","14","497"
"2021","600","Charlotte-Mecklenburg County Schools","399","Alexander Graham Middle","3","1","12","26","176","156","174","142","311","304","1","1","16","13","1,336"
"2021","600","Charlotte-Mecklenburg County Schools","404","Harper Middle College High","0","0","6","15","18","23","17","28","31","30","0","0","1","5","174"
"2021","600","Charlotte-Mecklenburg County Schools","405","Harding University High School","1","1","24","28","273","249","475","409","16","6","1","0","5","3","1,491"
"2021","600","Charlotte-Mecklenburg County Schools","406","Hawk Ridge Elementary","0","0","114","101","29","44","30","34","170","153","0","1","11","16","703"
"2021","600","Charlotte-Mecklenburg County Schools","408","Lawrence Orr Elementary","0","0","19","35","152","152","127","108","11","8","0","0","9","11","632"
"2021","600","Charlotte-Mecklenburg County Schools","409","Parkside Elementary","2","1","7","3","21","17","127","118","12","8","1","0","8","10","335"
"2021","600","Charlotte-Mecklenburg County Schools","410","Hickory Grove Elementary","0","0","15","23","130","136","112","109","4","5","2","2","4","4","546"
"2021","600","Charlotte-Mecklenburg County Schools","411","Highland Creek Elementary","1","0","12","12","26","23","116","90","97","71","0","0","19","16","483"
"2021","600","Charlotte-Mecklenburg County Schools","412","Hidden Valley Elementary","0","0","3","6","258","256","136","127","4","1","1","1","4","7","804"
"2021","600","Charlotte-Mecklenburg County Schools","413","Highland Mill Montessori","0","0","5","6","16","14","44","74","55","39","0","0","3","8","264"
"2021","600","Charlotte-Mecklenburg County Schools","414","Highland Renaissance Academy","1","1","3","0","68","70","83","70","10","4","0","0","3","6","319"
"2021","600","Charlotte-Mecklenburg County Schools","415","Hopewell High School","5","1","34","26","152","151","420","400","255","235","0","0","32","44","1,755"
"2021","600","Charlotte-Mecklenburg County Schools","416","Hornets Nest Elementary","0","2","19","15","69","67","175","178","4","10","0","0","5","8","552"
"2021","600","Charlotte-Mecklenburg County Schools","418","Croft Community School","1","0","5","13","27","25","108","119","38","29","1","1","10","7","384"
"2021","600","Charlotte-Mecklenburg County Schools","420","Huntersville Elementary","0","0","8","10","73","75","42","43","213","239","0","1","17","13","734"
"2021","600","Charlotte-Mecklenburg County Schools","422","Huntingtowne Farms Elementary","0","1","5","9","291","288","48","59","41","42","0","0","4","4","792"
"2021","600","Charlotte-Mecklenburg County Schools","424","Idlewild Elementary","1","0","84","79","208","198","127","139","36","38","0","0","6","3","919"
"2021","600","Charlotte-Mecklenburg County Schools","426","Independence High School","3","7","57","57","396","376","342","300","249","233","3","1","32","27","2,083"
"2021","600","Charlotte-Mecklenburg County Schools","428","James Martin Middle","1","0","6","4","109","101","210","209","15","13","2","1","7","3","681"
"2021","600","Charlotte-Mecklenburg County Schools","429","Gov's Village STEM (Upper)","2","1","26","20","109","99","273","249","19","8","0","0","11","14","831"
"2021","600","Charlotte-Mecklenburg County Schools","431","Jay M. Robinson Middle","2","0","163","177","62","47","79","49","335","317","2","0","21","14","1,268"
"2021","600","Charlotte-Mecklenburg County Schools","432","Joseph W Grier Academy","1","2","16","24","162","156","147","159","19","12","0","2","9","4","713"
"2021","600","Charlotte-Mecklenburg County Schools","433","J.V. Washam Elementary","1","0","21","21","50","50","33","53","339","310","2","0","17","20","917"
"2021","600","Charlotte-Mecklenburg County Schools","434","Kennedy Middle","2","0","36","36","224","176","218","194","65","57","1","0","14","11","1,034"
"2021","600","Charlotte-Mecklenburg County Schools","435","Trillium Springs Montessori","0","0","5","6","11","9","43","28","38","34","1","1","5","3","184"
"2021","600","Charlotte-Mecklenburg County Schools","436","Lake Wylie Elementary","0","0","17","13","87","91","122","106","34","27","0","0","17","13","527"
"2021","600","Charlotte-Mecklenburg County Schools","437","Ballantyne Elementary","1","1","163","153","45","55","73","89","148","168","0","0","9","10","915"
"2021","600","Charlotte-Mecklenburg County Schools","438","Lansdowne Elementary","0","0","9","14","34","39","88","105","90","97","0","0","12","18","506"
"2021","600","Charlotte-Mecklenburg County Schools","439","Turning Point Academy","0","0","1","0","8","1","61","26","6","1","0","0","1","0","105"
"2021","600","Charlotte-Mecklenburg County Schools","440","Lebanon Road Elementary","2","2","21","23","160","137","145","124","42","24","0","2","9","10","701"
"2021","600","Charlotte-Mecklenburg County Schools","442","Blythe Elementary","0","0","22","22","127","112","213","222","48","38","0","1","15","19","839"
"2021","600","Charlotte-Mecklenburg County Schools","443","Levine Middle College High Sch","1","0","14","24","7","9","10","10","76","81","0","0","3","6","241"
"2021","600","Charlotte-Mecklenburg County Schools","444","Long Creek Elementary","1","1","8","10","55","32","166","168","21","32","0","1","9","8","512"
"2021","600","Charlotte-Mecklenburg County Schools","445","Mallard Creek High School","6","6","57","57","146","142","740","832","121","112","0","0","50","36","2,305"
"2021","600","Charlotte-Mecklenburg County Schools","446","Mallard Creek Elementary","2","2","19","29","32","43","156","164","17","24","0","0","11","11","510"
"2021","600","Charlotte-Mecklenburg County Schools","447","Matthews Elementary","0","0","22","36","58","70","64","82","254","224","1","2","17","13","843"
"2021","600","Charlotte-Mecklenburg County Schools","448","""Martin Luther King, Jr Middle""","2","4","7","10","252","240","140","128","8","5","0","2","3","3","804"
"2021","600","Charlotte-Mecklenburg County Schools","449","McAlpine Elementary","0","1","15","16","39","32","51","41","121","114","0","0","13","13","456"
"2021","600","Charlotte-Mecklenburg County Schools","450","McClintock Middle","0","1","28","26","219","233","285","244","86","65","1","2","11","14","1,215"
"2021","600","Charlotte-Mecklenburg County Schools","451","McKee Road Elementary","1","0","63","58","28","17","22","28","136","136","0","0","5","9","503"
