"Children with Disabilities, School Age [Ages 5 (in Kindergarten) - 21], South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Demographic Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"These data are reflective of students with disabilities, ages 5 (in Kindergarten) to 21, in special education and related services through Individualized Education Programs under the coverage of the Individuals with Disabilities Education Act, 2004.  These counts would not include children with disabilities who do not have IEPs.  The designation of * indicates that the values were 10 or less. Consequently, the data have been suppressed to comply with the Family Educational Rights and Privacy Act (FERPA) and with the SC Department of Education's policy on public reporting of small cell sizes.  Numbers and/or percentages may not add up to statewide totals or 100% as a result.  The Child Count date for the 2020-2021 school year was Tuesday, October 27, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,N,Column %,N,Column %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbeville,120,0.35%,258,0.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken,937,2.74%,1832,2.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allendale,32,0.09%,70,0.10%,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson 1,539,1.57%,875,1.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson 2,161,0.47%,355,0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson 3,150,0.44%,188,0.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson 4,143,0.42%,264,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson 5,593,1.73%,1157,1.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamberg 1,61,0.18%,87,0.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bamberg 2,37,0.11%,74,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnwell 19,19,0.06%,64,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnwell 29,24,0.07%,50,0.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnwell 45,97,0.28%,225,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort,703,2.05%,1421,2.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1451,4.24%,2934,4.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,84,0.25%,164,0.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,1574,4.60%,3422,5.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charter Erskine,894,2.61%,1658,2.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,352,1.03%,652,0.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester,222,0.65%,474,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,218,0.64%,518,0.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarendon 1,32,0.09%,70,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarendon 2,109,0.32%,297,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarendon 3,58,0.17%,107,0.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colleton,290,0.85%,521,0.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,463,1.35%,929,1.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon 3,47,0.14%,119,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon 4,83,0.24%,227,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester 2,1009,2.95%,2029,3.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester 4,118,0.34%,234,0.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgefield,110,0.32%,229,0.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,110,0.32%,257,0.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence 1,665,1.94%,1289,1.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence 2,70,0.20%,133,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence 3,185,0.54%,377,0.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence 4,38,0.11%,68,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence 5,98,0.29%,158,0.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,440,1.29%,880,1.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville,3911,11.42%,7203,10.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood 50,309,0.90%,642,0.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood 51,61,0.18%,102,0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwood 52,50,0.15%,123,0.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton 1,52,0.15%,136,0.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton 2,32,0.09%,61,0.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horry,2075,6.06%,4034,6.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper,76,0.22%,166,0.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kershaw,506,1.48%,913,1.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster,667,1.95%,1318,1.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurens 55,280,0.82%,496,0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurens 56,172,0.50%,317,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,61,0.18%,143,0.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington 1,1220,3.56%,2331,3.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington 2,438,1.28%,921,1.37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington 3,102,0.30%,215,0.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington 4,211,0.62%,417,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington 5,696,2.03%,1481,2.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,202,0.59%,449,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlboro,148,0.43%,340,0.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCormick,42,0.12%,75,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newberry,244,0.71%,496,0.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oconee,711,2.08%,1241,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orangeburg,457,1.33%,1013,1.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto Unified,*,*,40,0.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickens,730,2.13%,1354,2.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland 1,944,2.76%,1875,2.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland 2,1171,3.42%,2346,3.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Department of Juvenile Justice,*,*,111,0.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Governor's School for Arts and Humanities,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Governor's School for Science and Mathematics,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Public Charter,638,1.86%,1067,1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC School for the Deaf & Blind,82,0.24%,82,0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saluda,129,0.38%,252,0.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 1,185,0.54%,388,0.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 2,477,1.39%,923,1.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 3,129,0.38%,294,0.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 4,126,0.37%,244,0.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 5,458,1.34%,847,1.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 6,628,1.83%,1142,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg 7,313,0.91%,600,0.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter,762,2.23%,1485,2.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,240,0.70%,453,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wil Lou Gray,*,*,12,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,164,0.48%,410,0.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York 1,322,0.94%,620,0.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York 2,259,0.76%,531,0.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York 3,873,2.55%,1680,2.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York 4,539,1.57%,1070,1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethnicity or Race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,American Indian,,Asian,,Black or African American,,Hispanic,,Pacific Islander or Hawaiian,,Two or more races,,White,,,,,,,,,,,,,,,,,,,,,
District,N,Column %,N,Column %,N,Column %,N,Column %,N,Column %,N,Column %,N,Column %,,,,,,,,,,,,,,,,,,,,
Abbeville,*,*,*,*,131,0.33%,*,*,*,*,15,0.30%,225,0.49%,,,,,,,,,,,,,,,,,,,,
Aiken,*,*,*,*,1182,2.99%,277,2.78%,*,*,107,2.14%,1186,2.60%,,,,,,,,,,,,,,,,,,,,
Allendale,*,*,*,*,91,0.23%,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,
Anderson 1,*,*,12,1.59%,125,0.32%,121,1.21%,*,*,67,1.34%,1082,2.37%,,,,,,,,,,,,,,,,,,,,
Anderson 2,*,*,*,*,84,0.21%,19,0.19%,*,*,26,0.52%,384,0.84%,,,,,,,,,,,,,,,,,,,,
Anderson 3,*,*,*,*,39,0.10%,17,0.17%,*,*,12,0.24%,267,0.58%,,,,,,,,,,,,,,,,,,,,
Anderson 4,*,*,*,*,66,0.17%,16,0.16%,*,*,25,0.50%,299,0.65%,,,,,,,,,,,,,,,,,,,,
Anderson 5,*,*,*,*,729,1.85%,131,1.31%,*,*,130,2.60%,745,1.63%,,,,,,,,,,,,,,,,,,,,
Bamberg 1,*,*,*,*,82,0.21%,*,*,*,*,*,*,59,0.13%,,,,,,,,,,,,,,,,,,,,
Bamberg 2,*,*,*,*,100,0.25%,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,
Barnwell 19,*,*,*,*,70,0.18%,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,
Barnwell 29,*,*,*,*,43,0.11%,*,*,*,*,*,*,26,0.06%,,,,,,,,,,,,,,,,,,,,
Barnwell 45,*,*,*,*,168,0.43%,*,*,*,*,18,0.36%,124,0.27%,,,,,,,,,,,,,,,,,,,,
Beaufort,*,*,11,1.45%,747,1.89%,608,6.09%,*,*,87,1.74%,669,1.46%,,,,,,,,,,,,,,,,,,,,
Berkeley,*,*,36,4.76%,1429,3.62%,514,5.15%,*,*,311,6.23%,2081,4.55%,,,,,,,,,,,,,,,,,,,,
Calhoun,*,*,*,*,127,0.32%,*,*,*,*,*,*,114,0.25%,,,,,,,,,,,,,,,,,,,,
Charleston,*,*,44,5.81%,2593,6.56%,472,4.73%,*,*,153,3.06%,1724,3.77%,,,,,,,,,,,,,,,,,,,,
Charter Erskine,*,*,13,1.72%,641,1.62%,172,1.72%,*,*,115,2.30%,1599,3.50%,,,,,,,,,,,,,,,,,,,,
Cherokee,*,*,*,*,269,0.68%,60,0.60%,*,*,28,0.56%,643,1.41%,,,,,,,,,,,,,,,,,,,,
Chester,*,*,*,*,337,0.85%,17,0.17%,*,*,27,0.54%,314,0.69%,,,,,,,,,,,,,,,,,,,,
Chesterfield,*,*,*,*,301,0.76%,39,0.39%,*,*,45,0.90%,349,0.76%,,,,,,,,,,,,,,,,,,,,
Clarendon 1,*,*,*,*,92,0.23%,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,
Clarendon 2,*,*,*,*,249,0.63%,11,0.11%,*,*,*,*,134,0.29%,,,,,,,,,,,,,,,,,,,,
Clarendon 3,*,*,*,*,56,0.14%,12,0.12%,*,*,*,*,95,0.21%,,,,,,,,,,,,,,,,,,,,
Colleton,*,*,*,*,407,1.03%,44,0.44%,*,*,30,0.60%,325,0.71%,,,,,,,,,,,,,,,,,,,,
Darlington,*,*,*,*,713,1.81%,46,0.46%,*,*,146,2.92%,483,1.06%,,,,,,,,,,,,,,,,,,,,
Dillon 3,*,*,*,*,72,0.18%,*,*,*,*,*,*,86,0.19%,,,,,,,,,,,,,,,,,,,,
Dillon 4,14,4.03%,*,*,167,0.42%,11,0.11%,*,*,19,0.38%,98,0.21%,,,,,,,,,,,,,,,,,,,,
Dorchester 2,*,*,25,3.30%,1109,2.81%,287,2.88%,*,*,228,4.57%,1381,3.02%,,,,,,,,,,,,,,,,,,,,
Dorchester 4,*,*,*,*,192,0.49%,*,*,*,*,20,0.40%,124,0.27%,,,,,,,,,,,,,,,,,,,,
Edgefield,*,*,*,*,152,0.38%,25,0.25%,*,*,19,0.38%,143,0.31%,,,,,,,,,,,,,,,,,,,,
Fairfield,*,*,*,*,293,0.74%,*,*,*,*,*,*,61,0.13%,,,,,,,,,,,,,,,,,,,,
Florence 1,*,*,16,2.11%,1190,3.01%,110,1.10%,*,*,121,2.42%,515,1.13%,,,,,,,,,,,,,,,,,,,,
Florence 2,*,*,*,*,77,0.19%,*,*,*,*,*,*,106,0.23%,,,,,,,,,,,,,,,,,,,,
