system,system_name,school,school_name,subgroup,exit_denom,n_exit,pct_exit,growth_standard_denom,n_met_growth_standard,pct_met_growth_standard,literacy_average,composite_average
10,Anderson County,2,Anderson County High School,All Students,1,*,*,0,*,*,*,*
10,Anderson County,2,Anderson County High School,Asian,1,*,*,0,*,*,*,*
10,Anderson County,2,Anderson County High School,English Learners,1,*,*,0,*,*,*,*
10,Anderson County,2,Anderson County High School,Non-Economically Disadvantaged,1,*,*,0,*,*,*,*
10,Anderson County,2,Anderson County High School,Non-Students with Disabilities,1,*,*,0,*,*,*,*
10,Anderson County,5,Andersonville Elementary,All Students,1,*,*,1,*,*,*,*
10,Anderson County,5,Andersonville Elementary,Black/Hispanic/Native American,1,*,*,1,*,*,*,*
10,Anderson County,5,Andersonville Elementary,Economically Disadvantaged,1,*,*,1,*,*,*,*
10,Anderson County,5,Andersonville Elementary,English Learners,1,*,*,1,*,*,*,*
10,Anderson County,5,Andersonville Elementary,Hispanic,1,*,*,1,*,*,*,*
10,Anderson County,5,Andersonville Elementary,Non-Students with Disabilities,1,*,*,1,*,*,*,*
10,Anderson County,15,Claxton Elementary,All Students,7,*,*,6,*,*,*,*
10,Anderson County,15,Claxton Elementary,Black/Hispanic/Native American,7,*,*,6,*,*,*,*
10,Anderson County,15,Claxton Elementary,Economically Disadvantaged,2,*,*,2,*,*,*,*
10,Anderson County,15,Claxton Elementary,English Learners,7,*,*,6,*,*,*,*
10,Anderson County,15,Claxton Elementary,Hispanic,7,*,*,6,*,*,*,*
10,Anderson County,15,Claxton Elementary,Non-Economically Disadvantaged,5,*,*,4,*,*,*,*
10,Anderson County,15,Claxton Elementary,Non-Students with Disabilities,7,*,*,6,*,*,*,*
10,Anderson County,20,Clinton Middle School,All Students,2,*,*,1,*,*,*,*
10,Anderson County,20,Clinton Middle School,Black/Hispanic/Native American,2,*,*,1,*,*,*,*
10,Anderson County,20,Clinton Middle School,Economically Disadvantaged,1,*,*,1,*,*,*,*
10,Anderson County,20,Clinton Middle School,English Learners,2,*,*,1,*,*,*,*
10,Anderson County,20,Clinton Middle School,Hispanic,2,*,*,1,*,*,*,*
10,Anderson County,20,Clinton Middle School,Non-Economically Disadvantaged,1,*,*,0,*,*,*,*
10,Anderson County,20,Clinton Middle School,Non-Students with Disabilities,1,*,*,1,*,*,*,*
10,Anderson County,20,Clinton Middle School,Students with Disabilities,1,*,*,0,*,*,*,*
10,Anderson County,25,Clinton High School,All Students,3,*,*,2,*,*,*,*
10,Anderson County,25,Clinton High School,Black/Hispanic/Native American,3,*,*,2,*,*,*,*
10,Anderson County,25,Clinton High School,Economically Disadvantaged,1,*,*,0,*,*,*,*
10,Anderson County,25,Clinton High School,English Learners,3,*,*,2,*,*,*,*
10,Anderson County,25,Clinton High School,Hispanic,3,*,*,2,*,*,*,*
10,Anderson County,25,Clinton High School,Non-Economically Disadvantaged,2,*,*,2,*,*,*,*
10,Anderson County,25,Clinton High School,Non-Students with Disabilities,3,*,*,2,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,All Students,3,*,*,1,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,Asian,2,*,*,1,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,Black/Hispanic/Native American,1,*,*,0,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,English Learners,3,*,*,1,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,Hispanic,1,*,*,0,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,Non-Economically Disadvantaged,3,*,*,1,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,Non-Students with Disabilities,2,*,*,0,*,*,*,*
10,Anderson County,35,Dutch Valley Elementary,Students with Disabilities,1,*,*,1,*,*,*,*
10,Anderson County,40,Fairview Elementary,All Students,1,*,*,1,*,*,*,*
10,Anderson County,40,Fairview Elementary,Black/Hispanic/Native American,1,*,*,1,*,*,*,*
10,Anderson County,40,Fairview Elementary,Economically Disadvantaged,1,*,*,1,*,*,*,*
10,Anderson County,40,Fairview Elementary,English Learners,1,*,*,1,*,*,*,*
10,Anderson County,40,Fairview Elementary,Hispanic,1,*,*,1,*,*,*,*
10,Anderson County,40,Fairview Elementary,Non-Students with Disabilities,1,*,*,1,*,*,*,*
10,Anderson County,50,Lake City Elementary,All Students,1,*,*,0,*,*,*,*
