"school","district","county","min_grade","max_grade","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_unreported","county_total","county_amind","county_asian","county_black","county_hisp","county_white","county_mult","district_total","district_amind","district_asian","district_black","district_hisp","district_white","district_mult","ell","ell_county","ell_dist","frpm","frpm_county","frpm_dist"
"Citizens of the World Charter School 4","Los Angeles Unified","Los Angeles","K","9",161,0,0.0372670807453416,0.031055900621118,0.173913043478261,0.596273291925466,0.161490683229814,0,1281343,0.00178172433142414,0.0637042540521937,0.0722125145257749,0.687111881830236,0.135523431274842,0.0300177235915754,534316,0.00142237926620202,0.0299953585518682,0.0753879726603733,0.76490690902013,0.100008234827331,0.0178153003091803,0.0062111801242236,0.193304212845429,0.218840536311845,0.180124223602484,0.700855274504953,0.823464017547668
"Citizens of the World Charter School 5","Los Angeles Unified","Los Angeles","K","9",168,0,0.0178571428571429,0.0952380952380952,0.279761904761905,0.43452380952381,0.172619047619048,0,1281343,0.00178172433142414,0.0637042540521937,0.0722125145257749,0.687111881830236,0.135523431274842,0.0300177235915754,534316,0.00142237926620202,0.0299953585518682,0.0753879726603733,0.76490690902013,0.100008234827331,0.0178153003091803,0.0416666666666667,0.193304212845429,0.218840536311845,0.31547619047619,0.700855274504953,0.823464017547668
"Citizens of the World Charter School Hollywood","Los Angeles Unified","Los Angeles","K","9",421,0,0.135391923990499,0.0498812351543943,0.344418052256532,0.401425178147268,0.0688836104513064,0,1281343,0.00178172433142414,0.0637042540521937,0.0722125145257749,0.687111881830236,0.135523431274842,0.0300177235915754,534316,0.00142237926620202,0.0299953585518682,0.0753879726603733,0.76490690902013,0.100008234827331,0.0178153003091803,0.156769596199525,0.193304212845429,0.218840536311845,0.458432304038005,0.700855274504953,0.823464017547668
"Citizens of the World Charter School Mar Vista","Los Angeles Unified","Los Angeles","K","9",550,0.00545454545454545,0.0436363636363636,0.130909090909091,0.430909090909091,0.301818181818182,0.0709090909090909,0.0163636363636364,1281343,0.00178172433142414,0.0637042540521937,0.0722125145257749,0.687111881830236,0.135523431274842,0.0300177235915754,534316,0.00142237926620202,0.0299953585518682,0.0753879726603733,0.76490690902013,0.100008234827331,0.0178153003091803,0.116363636363636,0.193304212845429,0.218840536311845,0.510909090909091,0.700855274504953,0.823464017547668
"Citizens of the World Charter School Silver Lake","Los Angeles Unified","Los Angeles","K","9",772,0.00129533678756477,0.119170984455959,0.0854922279792746,0.440414507772021,0.27720207253886,0.0764248704663212,0,1281343,0.00178172433142414,0.0637042540521937,0.0722125145257749,0.687111881830236,0.135523431274842,0.0300177235915754,534316,0.00142237926620202,0.0299953585518682,0.0753879726603733,0.76490690902013,0.100008234827331,0.0178153003091803,0.169689119170984,0.193304212845429,0.218840536311845,0.571243523316062,0.700855274504953,0.823464017547668
"City Language Immersion Charter","Los Angeles Unified","Los Angeles","K","9",382,0.00261780104712042,0.0157068062827225,0.151832460732984,0.698952879581152,0.0942408376963351,0.0287958115183246,0.00785340314136126,1281343,0.00178172433142414,0.0637042540521937,0.0722125145257749,0.687111881830236,0.135523431274842,0.0300177235915754,534316,0.00142237926620202,0.0299953585518682,0.0753879726603733,0.76490690902013,0.100008234827331,0.0178153003091803,0.246073298429319,0.193304212845429,0.218840536311845,0.510471204188482,0.700855274504953,0.823464017547668
"Design Tech High","San Mateo Union High","San Mateo","10","12",539,0,0.25417439703154,0.00927643784786642,0.131725417439703,0.454545454545455,0.150278293135436,0,74011,0.00159435759549256,0.14091148613044,0.0155247192984827,0.451014038453743,0.291348583318696,0.0904189917714934,8346,0.001078360891445,0.190989695662593,0.00922597651569614,0.3705966930266,0.313922837287323,0.114186436616343,0.012987012987013,0.248868411452352,0.124850227653966,0.0705009276437848,0.357217170420613,0.26875149772346
"East Bay Innovation Academy","Oakland Unified","Alameda","6","12",539,0.00556586270871985,0.0222634508348794,0.256029684601113,0.391465677179963,0.187384044526902,0.111317254174397,0.025974025974026,181759,0.00344412106140549,0.210916653370672,0.100820317013188,0.404794260531803,0.18553689225843,0.0763978675058732,44215,0.002352142937917,0.0762184778921181,0.218749293226281,0.511907723623205,0.100327943005767,0.057921519846206,0.0779220779220779,0.236687041632051,0.350876399411964,0.374768089053803,0.480652952536051,0.763473934185231
"Gateway High","San Francisco Unified","San Francisco","10","12",490,0.00408163265306122,0.159183673469388,0.120408163265306,0.373469387755102,0.210204081632653,0.108163265306122,0.0244897959183673,47832,0.00271784579361097,0.226020237497909,0.0890826225121258,0.390868038133467,0.160959190500084,0.0803227964542566,47065,0.00267714862424307,0.228598746414533,0.0865823860618294,0.391139912886434,0.159736534579836,0.0805269308403272,0.0836734693877551,0.308245526007694,0.310166790608733,0.497959183673469,0.59470647265429,0.595623074471476
"Gateway Middle","San Francisco Unified","San Francisco","6","8",270,0,0.037037037037037,0.166666666666667,0.3,0.362962962962963,0.111111111111111,0.0222222222222222,47832,0.00271784579361097,0.226020237497909,0.0890826225121258,0.390868038133467,0.160959190500084,0.0803227964542566,47065,0.00267714862424307,0.228598746414533,0.0865823860618294,0.391139912886434,0.159736534579836,0.0805269308403272,0.118518518518519,0.308245526007694,0.310166790608733,0.451851851851852,0.59470647265429,0.595623074471476
"Growth Public","Sacramento City Unified","Sacramento","K","9",247,0,0.0809716599190283,0.121457489878543,0.412955465587045,0.259109311740891,0.0850202429149798,0.0404858299595142,217420,0.00543648238432527,0.114515683929721,0.119179468310183,0.371028424247999,0.295920338515316,0.0884279275135682,39801,0.00535162433104696,0.12348935956383,0.147935981508002,0.458305067711867,0.1770056028743,0.0847214894098138,0.198380566801619,0.19506025204673,0.215120223109972,0.530364372469636,0.61084996780425,0.727695284038089
