"school","district","total","perc_amind","mean_amind","comp_amind","perc_asian","mean_asian","comp_asian","perc_black","mean_black","comp_black","perc_hispanic","mean_hispanic","comp_hisp","perc_white","mean_white","comp_white","perc_multiple","mean_multiple","comp_mult","perc_unreported","mean_unreported","comp_unrep"
"Citizens of the World Charter School Hollywood","Los Angeles Unified",445,0,0.00213766200395608,-0.0976287133469851,0.121348314606742,0.0252034113275219,2.07038226501555,0.0606741573033708,0.0918080524225465,-0.21242294718846,0.361797752808989,0.764693650275798,-1.65473479704759,0.444943820224719,0.0946543930079852,2.11295174887773,0.00224719101123596,0.0166472255179472,-0.511696362400888,0.00898876404494382,0.00485560544424522,0.230123922411399
"Citizens of the World Charter School Mar Vista","Los Angeles Unified",616,0.00162337662337662,0.00213766200395608,-0.0234878198266223,0.0308441558441558,0.0252034113275219,0.121467670260236,0.108766233766234,0.0918080524225465,0.115703699976933,0.362012987012987,0.764693650275798,-1.65385080808391,0.391233766233766,0.0946543930079852,1.78897179488875,0.0633116883116883,0.0166472255179472,1.65819296153911,0.0422077922077922,0.00485560544424522,2.07967623773685
"Citizens of the World Charter School Silver Lake","Los Angeles Unified",800,0.0025,0.00213766200395608,0.0165482626743736,0.07,0.0252034113275219,0.96464877031855,0.0625,0.0918080524225465,-0.199965434717378,0.41875,0.764693650275798,-1.42082607325676,0.35,0.0946543930079852,1.5402490196434,0.075,0.0166472255179472,2.07352992276163,0.02125,0.00485560544424522,0.91279884108311
"City Language Immersion Charter","Los Angeles Unified",423,0.00236406619385343,0.00213766200395608,0.010340058304418,0.00945626477541371,0.0252034113275219,-0.339098712818948,0.200945626477541,0.0918080524225465,0.744632980904532,0.553191489361702,0.764693650275798,-0.868661079737463,0.198581560283688,0.0946543930079852,0.626890430567393,0.0283687943262411,0.0166472255179472,0.416518732510005,0.00709219858156028,0.00485560544424522,0.124527905972532
"High Tech Elementary","San Diego Unified",402,0.0223880597014925,0.00358762616699487,4.23907158448134,0.0323383084577114,0.0549980722675569,-0.323911414636127,0.0696517412935323,0.0955307723094852,-0.246224857012682,0.440298507462687,0.514262879911049,-0.320955339122861,0.375621890547264,0.235294458753741,0.682111684185455,0.0597014925373134,0.0867164431158965,-0.492132593784426,0,0.00960974747527699,-0.78584805914149
"High Tech Elementary Chula Vista","Chula Vista Elementary",423,0.00236406619385343,0.00184690963191481,0.245720704413279,0.104018912529551,0.0459156846333008,1.25628126762694,0.0236406619385343,0.0360456832746223,-0.421524314175338,0.728132387706856,0.755454523904709,-0.181139356496805,0.104018912529551,0.116033056709292,-0.151888342688672,0.0378250591016548,0.0396549554156157,-0.0542589721648667,0,0.0050491864305461,-0.441957364463144
"High Tech Elementary Explorer","San Diego Unified",351,0.00854700854700855,0.00358762616699487,1.11822830495463,0.0227920227920228,0.0549980722675569,-0.460371393673961,0.102564102564103,0.0955307723094852,0.0669182990351759,0.484330484330484,0.514262879911049,-0.129886347390113,0.319088319088319,0.235294458753741,0.407310035298873,0.0626780626780627,0.0867164431158965,-0.437908279004094,0,0.00960974747527699,-0.78584805914149
"High Tech Elementary Mesa","San Diego Unified",199,0.0050251256281407,0.00358762616699487,0.324123542537944,0.050251256281407,0.0549980722675569,-0.0678536587580466,0.0351758793969849,0.0955307723094852,-0.574243868259026,0.256281407035176,0.514262879911049,-1.11946506640204,0.487437185929648,0.235294458753741,1.2256299291655,0.165829145728643,0.0867164431158965,1.44119973215768,0,0.00960974747527699,-0.78584805914149
"High Tech Elementary North County","San Marcos Unified",411,0.0048661800486618,0.00326034363624957,0.336916988738984,0.024330900243309,0.0288071718300827,-0.210867582328607,0.024330900243309,0.016948136956979,0.412534369225427,0.552311435523114,0.497576234293536,0.226154142556095,0.343065693430657,0.405240533480359,-0.303525310617593,0.0510948905109489,0.0473895427529475,0.127089502208285,0,0.000778037049846049,-0.221018354488501
"High Tech High","San Diego Unified",484,0.00619834710743802,0.00358762616699487,0.588658390953358,0.0454545454545455,0.0549980722675569,-0.136420542445249,0.0537190082644628,0.0955307723094852,-0.397816116727373,0.479338842975207,0.514262879911049,-0.151546693999304,0.330578512396694,0.235294458753741,0.463162230475682,0.0826446280991736,0.0867164431158965,-0.0741764409215273,0.00206611570247934,0.00960974747527699,-0.616889091288035
"High Tech High Chula Vista","Sweetwater Union High",524,0,0.00499901580123168,-0.973321282778605,0.0114503816793893,0.029636400910916,-0.471445198637945,0.0248091603053435,0.0358867283820433,-0.34597098803673,0.811068702290076,0.775847320543832,0.252467269864775,0.108778625954198,0.111982942068741,-0.0389920158227743,0.0438931297709924,0.0362679531039774,0.220242796245322,0,0.00537963918925875,-0.730010776805038
"High Tech High International","San Diego Unified",359,0.00278551532033426,0.00358762616699487,-0.18085781327564,0.0306406685236769,0.0549980722675569,-0.348178435121883,0.0668523676880223,0.0955307723094852,-0.272859369151752,0.465181058495822,0.514262879911049,-0.212981900821098,0.345403899721448,0.235294458753741,0.535226329330348,0.0891364902506964,0.0867164431158965,0.0440861096549187,0,0.00960974747527699,-0.78584805914149
"High Tech High Media Arts","San Diego Unified",375,0.00533333333333333,0.00358762616699487,0.393617393453823,0.0453333333333333,0.0549980722675569,-0.138153216712393,0.0693333333333333,0.0955307723094852,-0.24925433498747,0.541333333333333,0.514262879911049,0.117467454542723,0.272,0.235294458753741,0.178420414586253,0.064,0.0867164431158965,-0.413826486177081,0.00266666666666667,0.00960974747527699,-0.567778351298631
"High Tech High Mesa","San Diego Unified",215,0.00465116279069767,0.00358762616699487,0.239803399869536,0.0232558139534884,0.0549980722675569,-0.453741701834862,0.0558139534883721,0.0955307723094852,-0.377883856207708,0.348837209302326,0.514262879911049,-0.71783549906973,0.47906976744186,0.235294458753741,1.18495709817271,0.0883720930232558,0.0867164431158965,0.0301610503020365,0,0.00960974747527699,-0.78584805914149
"High Tech High North County","San Marcos Unified",386,0.0129533678756477,0.00326034363624957,2.03367199377818,0.0103626943005181,0.0288071718300827,-0.868879894478625,0.0181347150259067,0.016948136956979,0.0663036611383967,0.5,0.497576234293536,0.0100144814084652,0.39119170984456,0.405240533480359,-0.0685835870982389,0.0673575129533679,0.0473895427529475,0.684880221404665,0,0.000778037049846049,-0.221018354488501
"High Tech LA","Los Angeles Unified",363,0.00550964187327824,0.00213766200395608,0.15400098587364,0.0413223140495868,0.0252034113275219,0.347104102131713,0.0165289256198347,0.0918080524225465,-0.513620731231821,0.347107438016529,0.764693650275798,-1.71506942745585,0.556473829201102,0.0946543930079852,2.78570264915879,0.0220385674931129,0.0166472255179472,0.191578018501678,0.0110192837465565,0.00485560544424522,0.343178175444357
"High Tech LA Middle","Los Angeles Unified",136,0,0.00213766200395608,-0.0976287133469851,0.0294117647058824,0.0252034113275219,0.0906225905097858,0.0882352941176471,0.0918080524225465,-0.0243765145932974,0.338235294117647,0.764693650275798,-1.75150823292943,0.514705882352941,0.0946543930079852,2.53375768741363,0.0294117647058824,0.0166472255179472,0.453580042960724,0,0.00485560544424522,-0.270347953819867
"High Tech Middle","San Diego Unified",327,0.0152905198776758,0.00358762616699487,2.63873724476209,0.0336391437308868,0.0549980722675569,-0.305316543256234,0.0795107033639144,0.0955307723094852,-0.152422213297898,0.458715596330275,0.514262879911049,-0.241037632699007,0.339449541284404,0.235294458753741,0.50628303998324,0.073394495412844,0.0867164431158965,-0.242686532344105,0,0.00960974747527699,-0.78584805914149
