"dist_name","dist_code","test_id","school","n_all","all","asian","black","hisp","mult","white","dist_n_all","dist_all","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult"
"Chula Vista Elementary",68023,"ela","High Tech Middle Chula Vista",311,0.4502,0.6364,0,0.4234,0.5,0.3704,12505,0.5331,0.6129,0.773067846778874,0.5172,0.4592,0.6557,0.6512
"Chula Vista Elementary",68023,"ela","High Tech Elementary Chula Vista",226,0.2876,0.375,0,0.2215,0,0.5,12505,0.5331,0.6129,0.773067846778874,0.5172,0.4592,0.6557,0.6512
"Chula Vista Elementary",68023,"math","High Tech Middle Chula Vista",302,0.2285,0.4063,0,0.1953,0.1875,0.2692,12661,0.4282,0.4516,0.721287189844201,0.3811,0.3407,0.5887,0.5582
"Chula Vista Elementary",68023,"math","High Tech Elementary Chula Vista",226,0.1991,0.25,0,0.1392,0,0.3333,12661,0.4282,0.4516,0.721287189844201,0.3811,0.3407,0.5887,0.5582
"East Side Union High",69427,"ela","Summit Public School: Tahoma",83,0.6914,0,0,0.6,0,0.8095,4683,0.6307,NA,0.798364897413024,0.4848,0.4228,0.7583,0.7795
"East Side Union High",69427,"math","Summit Public School: Tahoma",82,0.4146,0.6364,0,0.25,0,0.5,4684,0.3808,NA,0.5927,0.1765,0.1283,0.4768,0.5276
"Jefferson Union High",68924,"ela","Summit Public School: Shasta",108,0.8426,0.92979298245614,NA,0.5357,1,0,906,0.6235,NA,NA,NA,0.4841,0.7338,0.6061
"Jefferson Union High",68924,"math","Summit Public School: Shasta",108,0.4537,0.526314035087719,NA,0.25,0.5294,0,905,0.3115,NA,NA,NA,0.1799,0.3262,0.3636
"Los Angeles Unified",64733,"ela","Citizens of the World Charter School Hollywood",197,0.6802,0.8621,0,0.5479,0,0.7922,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","High Tech LA",73,0.726,0,NA,0.6667,NA,0.7391,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","Citizens of the World Charter School Mar Vista",323,0.5807,0.55,0.54,0.4697,0.6667,0.7071,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","High Tech LA Middle",203,0.4877,0,0,0.3667,0.6667,0.4956,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","Citizens of the World Charter School Silver Lake",496,0.502,0.758061290322581,0.3256,0.2877,0.7647,0.6993,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","Valley Charter Elementary",143,0.5734,0,NA,0.4932,0.4615,0.6923,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","City Language Immersion Charter",180,0.55,NA,0.6129,0.4298,0,0.8261,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","Valley Charter Middle",229,0.3877,0.5,0,0.355,0,0.5429,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","The City",247,0.3171,NA,0.2348,0.3068,0.3846,0.6,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"ela","Larchmont Charter",807,0.6914,0.7588,0.4444,0.4902,0.7582,0.7898,218350,0.417,0.4112,0.736101987596204,0.3127,0.3579,0.6644,0.6088
"Los Angeles Unified",64733,"math","Citizens of the World Charter School Silver Lake",495,0.3596,0.661283870967742,0.186,0.1792,0.5,0.5211,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","Valley Charter Elementary",142,0.4577,0,NA,0.411,0.4615,0.5,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","Valley Charter Middle",228,0.193,0.3333,0,0.1361,0,0.4286,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","High Tech LA Middle",200,0.38,0,0,0.2881,0,0.3982,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","Citizens of the World Charter School Hollywood",195,0.5385,0.7931,0,0.2778,0,0.7237,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","City Language Immersion Charter",180,0.4333,NA,0.3871,0.3333,0,0.7826,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","High Tech LA",73,0.3973,0,NA,0.2222,NA,0.4565,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","Citizens of the World Charter School Mar Vista",321,0.3875,0.5,0.22,0.2846,0.5,0.5758,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","The City",245,0.0939,NA,0.0439,0.0795,0.0769,0.36,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Los Angeles Unified",64733,"math","Larchmont Charter",807,0.5496,0.713477777777778,0.1852,0.3137,0.6264,0.625,219502,0.2849,0.225,0.649462475793237,0.1737,0.2208,0.5426,0.4765
"Oakland Unified",61259,"ela","East Bay Innovation Academy",344,0.4215,0.6842,0.2556,0.3972,0.5116,0.6222,15711,0.3533,0.3077,0.504791903614458,0.1981,0.2476,0.7376,0.5384
"Oakland Unified",61259,"ela","Yu Ming Charter",330,0.897,0.856271856287425,0.7222,0.9444,0.9348,0.9375,15711,0.3533,0.3077,0.504791903614458,0.1981,0.2476,0.7376,0.5384
"Oakland Unified",61259,"ela","Urban Montessori Charter",187,0.3676,0,0.2195,0.1404,0.5417,0.6346,15711,0.3533,0.3077,0.504791903614458,0.1981,0.2476,0.7376,0.5384
"Oakland Unified",61259,"math","Yu Ming Charter",330,0.9455,0.916124550898204,0.8889,1,0.9457,0.9688,15631,0.2587,0.1538,0.443027360774818,0.1063,0.1449,0.653,0.4319
"Oakland Unified",61259,"math","Urban Montessori Charter",188,0.2378,0,0.1463,0.0702,0.3333,0.4038,15631,0.2587,0.1538,0.443027360774818,0.1063,0.1449,0.653,0.4319
"Oakland Unified",61259,"math","East Bay Innovation Academy",346,0.2674,0.4737,0.1011,0.2143,0.3488,0.5745,15631,0.2587,0.1538,0.443027360774818,0.1063,0.1449,0.653,0.4319
"Orange Unified",66621,"ela","Tomorrow's Leadership Collaborative (TLC) Charter",46,0.1522,NA,NA,0.1053,NA,0,12315,0.5469,0.5385,0.813747421383648,0.5,0.4122,0.6952,0.6614
"Orange Unified",66621,"math","Tomorrow's Leadership Collaborative (TLC) Charter",46,0.087,NA,NA,0.0789,NA,0,12284,0.3977,0.3571,0.736577511054959,0.3649,0.2382,0.5591,0.5554
"Pasadena Unified",64881,"ela","Odyssey Charter",297,0.7239,0.8182,0.2917,0.6915,0.8,0.7967,7303,0.4502,0.4,0.753445989304813,0.3218,0.3353,0.7066,0.698
"Pasadena Unified",64881,"math","Odyssey Charter",296,0.5743,0.6364,0.2083,0.4787,0.6444,0.6885,7262,0.3285,0.2667,0.705457575757576,0.1805,0.2039,0.5948,0.5817
"Sacramento City Unified",67439,"ela","Growth Public",95,0.2737,0,0.3846,0.1707,0,0.3636,19989,0.3819,0.2661,0.42591337302496,0.1902,0.3002,0.6032,0.5208
"Sacramento City Unified",67439,"math","Growth Public",97,0.2165,0,0.0769,0.186,0,0.3182,20061,0.2693,0.1351,0.3203434733514,0.0889,0.1867,0.4866,0.3849
"San Diego Unified",68338,"ela","High Tech Elementary",196,0.3724,NA,0.1429,0.2143,0.5385,0.625,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech High International",93,0.5699,0,NA,0.4107,1,0.75,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech High Mesa",95,0.6526,0,0,0.6571,0.75,0.6944,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech Elementary Mesa",142,0.3662,0,NA,0.3824,0.5,0.3284,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech High Media Arts",86,0.6512,NA,0,0.6136,0,0.7273,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech Middle",294,0.4178,0.484866666666667,0.2778,0.2786,0.4,0.6136,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech Middle Media Arts",324,0.4321,0.380961904761905,0.2857,0.3765,0.4063,0.5333,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech Middle Mesa",323,0.6037,0.750047222222222,0.4,0.5051,0.5161,0.6957,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech Elementary Explorer",150,0.44,0,0.3571,0.3333,0,0.5641,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"ela","High Tech High",114,0.4649,0,0,0.4286,0,0.6207,45523,0.5313,0.3303,0.700145186335404,0.3388,0.3773,0.7193,0.6639
"San Diego Unified",68338,"math","High Tech High International",93,0.2366,0,NA,0.125,0.4545,0.5625,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech Elementary",199,0.2613,NA,0.1429,0.19,0.3846,0.3692,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech Middle",290,0.2483,0.235270588235294,0.2941,0.1079,0.28,0.4318,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech Middle Mesa",323,0.3498,0.527752777777778,0.2,0.2121,0.4194,0.4058,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech High",115,0.1826,0,0,0.0714,0,0.3667,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech Elementary Explorer",152,0.3046,0,0.0714,0.2078,0,0.5385,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech Elementary Mesa",142,0.3099,0,NA,0.2941,0.1364,0.2985,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech High Mesa",95,0.2947,0,0,0.2,0.3333,0.4167,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech High Media Arts",84,0.1786,NA,NA,0.1333,0,0.3333,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Diego Unified",68338,"math","High Tech Middle Media Arts",320,0.2219,0.333361904761905,0.2308,0.1938,0.25,0.236,45635,0.411,0.3028,0.601197607387715,0.1872,0.2412,0.6213,0.5469
"San Francisco Unified",68478,"ela","Gateway High",116,0.6724,0.8571,0.4118,0.5849,0,0.9412,23711,0.545,0.3833,0.680426012049466,0.1795,0.2898,0.75,0.6156
"San Francisco Unified",68478,"ela","Gateway Middle",288,0.5417,0.647041176470588,0.1628,0.3684,0.6216,0.7526,23711,0.545,0.3833,0.680426012049466,0.1795,0.2898,0.75,0.6156
"San Francisco Unified",68478,"math","Gateway High",113,0.1947,0.4762,0,0.1132,0,0.25,23698,0.4557,0.2,0.618984897484676,0.0908,0.1805,0.6378,0.5071
"San Francisco Unified",68478,"math","Gateway Middle",282,0.3014,0.470567647058824,0.0256,0.0933,0.2778,0.5052,23698,0.4557,0.2,0.618984897484676,0.0908,0.1805,0.6378,0.5071
"San Marcos Unified",73791,"ela","High Tech Middle North County",324,0.5895,0.578947368421053,0,0.4783,0.6923,0.7091,10087,0.6034,0.6765,0.792135364396655,0.5,0.4465,0.7329,0.7518
"San Marcos Unified",73791,"ela","High Tech High North County",85,0.7529,NA,NA,0.7255,NA,0.8214,10087,0.6034,0.6765,0.792135364396655,0.5,0.4465,0.7329,0.7518
"San Marcos Unified",73791,"ela","High Tech Elementary North County",225,0.4533,0,0,0.3761,0.75,0.473,10087,0.6034,0.6765,0.792135364396655,0.5,0.4465,0.7329,0.7518
"San Marcos Unified",73791,"math","High Tech Elementary North County",225,0.2978,0,0,0.1709,0.5,0.4054,10053,0.4656,0.4412,0.7248754784689,0.3839,0.3,0.5894,0.6201
