"school","total","amind","asian","black","hisp","white","mult","frpl","el","sped","ls","ls_cty","organization name","dist_total","dist_amind","dist_asian","dist_black","dist_hisp","dist_white","dist_mult","dist_frpl","dist_el","dist_sped","county","cty_total","cty_amind","cty_asian","cty_black","cty_hisp","cty_white","cty_mult","county_frpl","cty_el","cty_sped"
"Aurora Science & Tech Middle School",454,0.00881057268722467,0.013215859030837,0.110132158590308,0.73568281938326,0.0881057268722467,0.0440528634361234,0.744493392070485,0.387665198237885,0.154185022026432,0.0795445759516121,0.253368077538483,"Adams-Arapahoe 28J",39051,0.00619702440398453,0.059563135387058,0.171570510358249,0.559243041151315,0.14319735730199,0.0602289313974034,0.737701979462754,0.383882615041868,0.136001638882487,"ARAPAHOE",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.446287746389476,0.202997974106825,0.134621905730756
"Downtown Denver Expeditionary School",259,0,0.00772200772200772,0.0617760617760618,0.28957528957529,0.552123552123552,0.0888030888030888,0.32046332046332,0.0231660231660232,0.131274131274131,0.248276918148206,0.143851106819748,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Byers High School",558,0.0017921146953405,0.0304659498207885,0.200716845878136,0.333333333333333,0.376344086021505,0.0573476702508961,0.469534050179211,0.125448028673835,0.0878136200716846,0.0797979501117481,0.0389083518713581,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Byers Middle School",469,0.00639658848614072,0.046908315565032,0.183368869936034,0.304904051172708,0.38592750533049,0.0724946695095949,0.509594882729211,0.26865671641791,0.0980810234541578,0.0936192565590884,0.0342519588761731,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Cole High School",308,0.00324675324675325,0.012987012987013,0.133116883116883,0.821428571428571,0.0227272727272727,0.00649350649350649,0.844155844155844,0.321428571428571,0.185064935064935,0.295041119902879,0.464618814134619,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Cole Middle School",274,0.00364963503649635,0.0218978102189781,0.204379562043796,0.737226277372263,0.0182481751824818,0.0145985401459854,0.927007299270073,0.492700729927007,0.153284671532847,0.267655504715891,0.420804951678882,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: College View High School",558,0,0.0645161290322581,0.0161290322580645,0.879928315412186,0.0340501792114695,0.00537634408602151,0.860215053763441,0.324372759856631,0.103942652329749,0.388522821349509,0.539895223205044,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: College View Middle School",457,0,0.050328227571116,0.0306345733041575,0.888402625820569,0.0240700218818381,0.00656455142231947,0.927789934354486,0.62363238512035,0.0831509846827133,0.380467055198878,0.542539083794148,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Conservatory Green High School",574,0.00174216027874564,0.0365853658536585,0.226480836236934,0.587108013937282,0.101045296167247,0.0470383275261324,0.642857142857143,0.200348432055749,0.120209059233449,0.0931525113481726,0.182358848309654,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Conservatory Green Middle School",476,0.00210084033613445,0.0315126050420168,0.17436974789916,0.670168067226891,0.0651260504201681,0.0567226890756303,0.743697478991597,0.434873949579832,0.109243697478992,0.129332017518458,0.242656308028485,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Elevate Northeast High School",305,0,0.019672131147541,0.186885245901639,0.688524590163934,0.0491803278688525,0.0557377049180328,0.8,0.314754098360656,0.0950819672131148,0.170541653638054,0.297564998794675,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Elevate Northeast Middle School",446,0.00224215246636771,0.00896860986547085,0.221973094170404,0.683856502242152,0.047085201793722,0.0358744394618834,0.791479820627803,0.484304932735426,0.116591928251121,0.19572692888038,0.332205260477226,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Green Valley Ranch High School",565,0,0.113274336283186,0.231858407079646,0.598230088495575,0.0300884955752212,0.0265486725663717,0.75929203539823,0.253097345132743,0.100884955752212,0.258782961343898,0.344396708058534,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
"DSST: Green Valley Ranch Middle School",480,0,0.114583333333333,0.252083333333333,0.545833333333333,0.04375,0.04375,0.760416666666667,0.40625,0.0895833333333333,0.233914771006637,0.30271266559354,"Denver County 1",87864,0.00574751889283438,0.0370458891013384,0.134252936356187,0.517242556678503,0.254893926978057,0.0508171719930802,0.620276791404898,0.294238823636529,0.126729946280615,"DENVER",202875,0.00559457794208256,0.0542057917436845,0.125495995070856,0.419120147874307,0.335398644485521,0.060184842883549,0.620276791404898,0.294238823636529,0.126729946280615
