school,subject,n_tested,metexc,m_metexc,comp_metexc
DOWNTOWN DENVER EXPEDITIONARY SCHOOL,ela,210,58%,38%,0.99
DSST MIDDLE SCHOOL @ NOEL CAMPUS,ela,154,56%,38%,0.91
DSST: BYERS MIDDLE SCHOOL,ela,479,78%,38%,1.94
DSST: COLE MIDDLE SCHOOL,ela,364,25%,38%,-0.65
DSST: COLLEGE VIEW MIDDLE SCHOOL,ela,430,41%,38%,0.14
DSST: CONSERVATORY GREEN MIDDLE SCHOOL,ela,439,51%,38%,0.66
DSST: GREEN VALLEY RANCH MIDDLE SCHOOL,ela,470,47%,38%,0.45
DSST: HENRY MIDDLE SCHOOL,ela,253,33%,38%,-0.25
DSST: STAPLETON MIDDLE SCHOOL,ela,454,54%,38%,0.79
DOWNTOWN DENVER EXPEDITIONARY SCHOOL,math,210,34%,30%,0.21
DSST MIDDLE SCHOOL @ NOEL CAMPUS,math,154,48%,30%,0.93
DSST: BYERS MIDDLE SCHOOL,math,481,65%,30%,1.77
DSST: COLE MIDDLE SCHOOL,math,365,10%,30%,-0.99
DSST: COLLEGE VIEW MIDDLE SCHOOL,math,427,33%,30%,0.16
DSST: CONSERVATORY GREEN MIDDLE SCHOOL,math,440,33%,30%,0.19
DSST: GREEN VALLEY RANCH MIDDLE SCHOOL,math,471,36%,30%,0.31
DSST: HENRY MIDDLE SCHOOL,math,254,22%,30%,-0.38
DSST: STAPLETON MIDDLE SCHOOL,math,451,38%,30%,0.43
