"school","ward","amind","asian","black","hispanic","white","multiple","at-risk","ell","swd","lea_name","entity","total","p_amind","p_asian","p_black","p_hispanic","p_multiple","p_white","p_ell","p_swd","p_at-risk","w_total","w_amind","w_asian","w_black","w_hispanic","w_multiple","w_white","w_at-risk","w_ell","w_swd","ls_ward","p_ward","dc_total","dc_amind","dc_asian","dc_black","dc_hispanic","dc_white","dc_multiple","dc_at.risk","dc_ell","dc_swd","ls_dc","p_dc"
"Capital City PCS - High School","4",0,3.47,104.1,215.14,10.41,10.41,142.27,72.87,90.22,"Capital City PCS","Charter",347,0,0.01,0.3,0.62,0.03,0.03,0.21,0.26,0.41,15886,0.000828402366863905,0.0125966259599647,0.421287926476143,0.392356162658945,0.0342018129170339,0.138537076671283,0.413867556338915,0.313875739644971,0.172140878761173,0.140849603960798,0.0216288535819857,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.472443501689765,0.00367810219220372
"Capital City PCS - Lower School","4",0,6.46,64.6,206.72,35.53,12.92,122.74,187.34,48.45,"Capital City PCS","Charter",323,0,0.02,0.2,0.64,0.04,0.11,0.58,0.15,0.38,15886,0.000828402366863905,0.0125966259599647,0.421287926476143,0.392356162658945,0.0342018129170339,0.138537076671283,0.413867556338915,0.313875739644971,0.172140878761173,0.142618805585559,0.0205396352692667,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.53165415649251,0.00349287479452339
"Capital City PCS - Middle School","4",0,3.32,109.56,182.6,23.24,16.6,119.52,132.8,69.72,"Capital City PCS","Charter",332,0,0.01,0.33,0.55,0.05,0.07,0.4,0.21,0.36,15886,0.000828402366863905,0.0125966259599647,0.421287926476143,0.392356162658945,0.0342018129170339,0.138537076671283,0.413867556338915,0.313875739644971,0.172140878761173,0.0631858395382839,0.021111947087915,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.332857152072881,0.00359019947920052
"District of Columbia International School","4",0,45.69,456.9,624.43,274.14,121.84,335.06,243.68,289.37,"District of Columbia International School","Charter",1523,0,0.03,0.3,0.41,0.08,0.18,0.16,0.19,0.22,15886,0.000828402366863905,0.0125966259599647,0.421287926476143,0.392356162658945,0.0342018129170339,0.138537076671283,0.413867556338915,0.313875739644971,0.172140878761173,0.0571227958632452,0.0958889878769372,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.253880742286469,0.0163064350674651
"E.L. Haynes PCS - Elementary School","4",3.5,3.5,119,143.5,66.5,17.5,136.5,147,63,"E.L. Haynes PCS","Charter",350,0.01,0.01,0.34,0.41,0.05,0.19,0.42,0.18,0.39,15886,0.000828402366863905,0.0125966259599647,0.421287926476143,0.392356162658945,0.0342018129170339,0.138537076671283,0.413867556338915,0.313875739644971,0.172140878761173,0.0361489224895379,0.0222565707252116,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.21800606780287,0.00378484884855476
"E.L. Haynes PCS - High School","4",4.43,0,159.48,261.37,4.43,13.29,243.65,110.75,106.32,"E.L. Haynes PCS","Charter",443,0.01,0,0.36,0.59,0.03,0.01,0.25,0.24,0.55,15886,0.000828402366863905,0.0125966259599647,0.421287926476143,0.392356162658945,0.0342018129170339,0.138537076671283,0.413867556338915,0.313875739644971,0.172140878761173,0.17859393634416,0.0278915440771393,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.463320175624396,0.00474310619493567
"E.L. Haynes PCS - Middle School","1",0,0,107.1,239.19,10.71,3.57,167.79,167.79,82.11,"E.L. Haynes PCS","Charter",357,0,0,0.3,0.67,0.01,0.03,0.47,0.23,0.47,8848,0.000705244122965642,0.0168557866184448,0.318280967450271,0.592251356238698,0.0122411844484629,0.0590981012658228,0.405749321880651,0.32815212477396,0.134667043399638,0.0315953534457574,0.0407747162155744,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.545833474604754,0.00386054582552586
"Elsie Whitlow Stokes Community Freedom PCS - Brookland","5",0,3.47,117.98,62.46,121.45,38.17,31.23,55.52,48.58,"Elsie Whitlow Stokes Community Freedom PCS","Charter",347,0,0.01,0.34,0.18,0.11,0.35,0.16,0.14,0.09,17035,0.000645729380686821,0.0121661285588494,0.703449955972997,0.154120927502201,0.0344819489286763,0.0938244790137951,0.47593836219548,0.101755796888758,0.175088347519812,0.379611220491343,0.0201925976345865,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.289734367035738,0.00367810219220373
"Elsie Whitlow Stokes Community Freedom PCS - East End","7",0,0,187.68,29.92,24.48,27.2,65.28,27.2,32.64,"Elsie Whitlow Stokes Community Freedom PCS","Charter",272,0,0,0.69,0.11,0.1,0.09,0.1,0.12,0.24,12483,0.000670511896178803,0.000887607145718177,0.945002803813186,0.035651686293359,0.00856845309621085,0.00648001281743171,0.693583273251622,0.0268933749899864,0.207916366258111,0.400680309522576,0.0216309832024105,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.0949073343192746,0.00288312333221733
"Inspired Teaching Demonstration PCS","5",0,15.18,202.4,40.48,212.52,40.48,86.02,45.54,111.32,"Inspired Teaching Demonstration PCS","Charter",506,0,0.03,0.4,0.08,0.08,0.42,0.09,0.22,0.17,17035,0.000645729380686821,0.0121661285588494,0.703449955972997,0.154120927502201,0.0344819489286763,0.0938244790137951,0.47593836219548,0.101755796888758,0.175088347519812,0.429967582386831,0.0300399643324652,93531,0.000569223038350921,0.0147345799788305,0.639029198875239,0.190356566272145,0.124334284889502,0.029561749580353,0.49786060236713,0.128393901487207,0.170546706439576,0.340602189302871,0.00547181004962488
