"school","ward","total","amind","mean_amind","comp_amind","asian","mean_asian","comp_asian","black","mean_black","comp_black","hispanic","mean_hispanic","comp_hispanic","white","mean_white","comp_white","multiple","mean_multiple","comp_multiple","at-risk","mean_frpm","comp_frpm","ell","mean_ell","comp_ell","swd","mean_swd","comp_swd"
"E.L. Haynes PCS - Middle School","1","360",0.01,0.00263157894736842,1.31122013621437,0,0.0173684210526316,-0.895680063671751,0.44,0.442631578947368,-0.00896733125923944,0.45,0.461052631578947,-0.0395581642239782,0.04,0.0589473684210526,-0.259206055124172,0.05,0.0152631578947368,2.25437091650724,0.38,0.418947368421053,-0.197024252556052,0.2,0.267894736842105,-0.324760669918894,0.23,0.149473684210526,0.765674516054155
"Capital City PCS - Lower School","4","330",0,0.00147058823529412,-0.293855860049178,0.02,0.0138235294117647,0.378166842760993,0.32,0.474117647058824,-0.725291815304548,0.51,0.373529411764706,0.630676995972261,0.09,0.108823529411765,-0.116120841968645,0.05,0.0252941176470588,0.889689657709912,0.35,0.382647058823529,-0.174804141439201,0.44,0.273235294117647,0.943869860110231,0.15,0.154411764705882,-0.100622189981421
"Capital City PCS - Middle School","4","337",0,0.00147058823529412,-0.293855860049178,0.01,0.0138235294117647,-0.234103283613948,0.33,0.474117647058824,-0.678230895990894,0.52,0.373529411764706,0.676890396539194,0.08,0.108823529411765,-0.177810039264487,0.05,0.0252941176470588,0.889689657709912,0.29,0.382647058823529,-0.496065806786922,0.18,0.273235294117647,-0.527701491454926,0.15,0.154411764705882,-0.100622189981421
"District of Columbia International School","4","1066",0,0.00147058823529412,-0.293855860049178,0.03,0.0138235294117647,0.990436969135934,0.36,0.474117647058824,-0.537048138049933,0.38,0.373529411764706,0.0299027886021331,0.16,0.108823529411765,0.315703539102252,0.06,0.0252941176470588,1.24980213821154,0.19,0.382647058823529,-1.03150191569979,0.08,0.273235294117647,-1.09369047282614,0.15,0.154411764705882,-0.100622189981421
"Capital City PCS - High School","4","340",0,0.00147058823529412,-0.293855860049178,0.03,0.0138235294117647,0.990436969135934,0.4,0.474117647058824,-0.348804460795317,0.55,0.373529411764706,0.815530598239993,0.01,0.108823529411765,-0.609634420335384,0.01,0.0252941176470588,-0.550760264296612,0.43,0.382647058823529,0.253544745691093,0.17,0.273235294117647,-0.584300389592048,0.23,0.154411764705882,1.72399352168167
"E.L. Haynes PCS - Elementary School","4","353",0.01,0.00147058823529412,1.70436398828523,0,0.0138235294117647,-0.846373409988889,0.39,0.474117647058824,-0.395865380108971,0.37,0.373529411764706,-0.0163106119647999,0.18,0.108823529411765,0.439081933693937,0.04,0.0252941176470588,0.529577177208281,0.33,0.382647058823529,-0.281891363221775,0.39,0.273235294117647,0.660875369424624,0.17,0.154411764705882,0.355531737934352
"E.L. Haynes PCS - High School","4","447",0.02,0.00147058823529412,3.70258383661964,0.02,0.0138235294117647,0.378166842760993,0.38,0.474117647058824,-0.442926299422625,0.55,0.373529411764706,0.815530598239993,0.02,0.108823529411765,-0.547945223039542,0.02,0.0252941176470588,-0.190647783794981,0.52,0.382647058823529,0.735437243712674,0.21,0.273235294117647,-0.357904797043562,0.23,0.154411764705882,1.72399352168167
"Washington Latin PCS - Middle School","4","374",0,0.00147058823529412,-0.293855860049178,0.03,0.0138235294117647,0.990436969135934,0.4,0.474117647058824,-0.348804460795317,0.09,0.373529411764706,-1.31028582783892,0.43,0.108823529411765,1.98131186609,0.05,0.0252941176470588,0.889689657709912,0.07,0.382647058823529,-1.67402524639523,0.02,0.273235294117647,-1.43328386164887,0.12,0.154411764705882,-0.78485308185508
"Washington Latin PCS - Upper School","4","333",0,0.00147058823529412,-0.293855860049178,0.04,0.0138235294117647,1.60270709551087,0.44,0.474117647058824,-0.160560783540702,0.09,0.373529411764706,-1.31028582783892,0.39,0.108823529411765,1.73455507690663,0.03,0.0252941176470588,0.16946469670665,0.14,0.382647058823529,-1.29921997015622,0.01,0.273235294117647,-1.48988275978599,0.14,0.154411764705882,-0.328699153939307
"Elsie Whitlow Stokes Community Freedom PCS - Brookland","5","352",0,0.00121951219512195,-0.368105086916155,0.01,0.0104878048780488,-0.0258988931875082,0.39,0.75390243902439,-1.42161982857498,0.21,0.119024390243902,0.62046258642184,0.26,0.0802439024390244,1.36067863751384,0.12,0.0321951219512195,1.85415703741143,0.11,0.456829268292683,-1.59917146382001,0.13,0.0824390243902439,0.513045101166476,0.13,0.176341463414634,-0.529011433245769
"Two Rivers PCS - Young","5","341",0,0.00121951219512195,-0.368105086916155,0.01,0.0104878048780488,-0.0258988931875082,0.52,0.75390243902439,-0.913762342897723,0.08,0.119024390243902,-0.266150171119288,0.29,0.0802439024390244,1.58776611704465,0.09,0.0321951219512195,1.22065338296253,0.2,0.456829268292683,-1.1841965902971,0.03,0.0824390243902439,-0.565665111542524,0.2,0.176341463414634,0.270074258025472
"Inspired Teaching Demonstration PCS","5","475",0,0.00121951219512195,-0.368105086916155,0.03,0.0104878048780488,1.03595572750033,0.37,0.75390243902439,-1.4997517494484,0.07,0.119024390243902,-0.334351152468605,0.43,0.0802439024390244,2.6475076881884,0.11,0.0321951219512195,1.64298915259513,0.17,0.456829268292683,-1.32252154813807,0.05,0.0824390243902439,-0.349923069000724,0.16,0.176341463414634,-0.186546136986666
"Lee Montessori PCS","5","215",0,0.00121951219512195,-0.368105086916155,0.03,0.0104878048780488,1.03595572750033,0.38,0.75390243902439,-1.46068578901169,0.06,0.119024390243902,-0.402552133817923,0.44,0.0802439024390244,2.72320351469867,0.09,0.0321951219512195,1.22065338296253,0.11,0.456829268292683,-1.59917146382001,0,0.0824390243902439,-0.889278175355224,0.21,0.176341463414634,0.384229356778506
"Washington Yu Ying PCS","5","570",0,0.00121951219512195,-0.368105086916155,0.1,0.0104878048780488,4.75244689990775,0.33,0.75390243902439,-1.65601559119525,0.06,0.119024390243902,-0.402552133817923,0.31,0.0802439024390244,1.73915777006518,0.21,0.0321951219512195,3.75466800075815,0.06,0.456829268292683,-1.82971306022163,0.11,0.0824390243902439,0.297303058624676,0.14,0.176341463414634,-0.414856334492735
"Two Rivers PCS - 4th St","6","538",0,0.0009375,-0.240291627455402,0.01,0.011875,-0.0813026525029669,0.62,0.7175,-0.364308960547724,0.08,0.0640625,0.186918025947559,0.22,0.1709375,0.233190277782654,0.07,0.0328125,1.11558564031388,0.22,0.4346875,-0.931806806917828,0.04,0.039375,0.0077853243014748,0.23,0.20125,0.311926329338352
"Elsie Whitlow Stokes Community Freedom PCS - East End","7","142",0,0,NA,0.01,0.001,2.96226264871972,0.55,0.943,-5.02404168015042,0.16,0.03675,3.24453029132672,0.14,0.00825,4.833397021844,0.14,0.00725,5.69409241290056,0.11,0.6465,-3.85564392215219,0.11,0.0275,2.29153065867422,0.08,0.234,-0.803856607865725
