"district","school","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_frpl","p_ell","p_swd","c_amind","c_asian","c_black","c_hisp","c_white","c_mult","c_frpl","c_ell","c_swd"
"ST. LOUIS CITY","4209 FOLSOM",201,0,0,0.502487562189055,0,0.45771144278607,0,0.368159203980099,0,0.104477611940299,0,0,101,0,92,0,74,0,21
"KANSAS CITY 33","ACADEMIE LAFAYETTE ARMOUR IHS",48,0,0,0.25,0.145833333333333,0.5625,0,0.291666666666667,0,0.125,0,0,12,7,27,0,14,0,6
"KANSAS CITY 33","ACADEMIE LAFAYETTE CHERRY ELEM",457,0,0.0153172866520788,0.227571115973742,0.0962800875273523,0.518599562363239,0.140043763676149,0.24507658643326,0.0240700218818381,0.0634573304157549,0,7,104,44,237,64,112,11,29
"ST. LOUIS CITY","ATLAS ELEMENTARY",114,0,0,0.728070175438597,0,0.175438596491228,0.0526315789473684,0.728070175438597,0,0.0701754385964912,0,0,83,0,20,6,83,0,8
"KANSAS CITY 33","Academie Lafayette Armour IMS",266,0,0,0.154135338345865,0.0601503759398496,0.635338345864662,0.131578947368421,0.157894736842105,0.018796992481203,0.109022556390977,0,0,41,16,169,35,42,5,29
"KANSAS CITY 33","Academie Lafayette Oak Elem",470,0,0,0.234042553191489,0.0617021276595745,0.58936170212766,0.11063829787234,0.185106382978723,0.025531914893617,0.0680851063829787,0,0,110,29,277,52,87,12,32
"ST. LOUIS CITY","CITY GARDEN MONTESSORI SCHOOL",78,0,0,0.448717948717949,0,0.423076923076923,0.0897435897435897,0.320512820512821,0,0,0,0,35,0,33,7,25,0,0
"KANSAS CITY 33","CROSSROADS - CENTRAL STREET",358,0,0,0.421787709497207,0.159217877094972,0.343575418994413,0.0726256983240224,0.628491620111732,0.0558659217877095,0.0782122905027933,0,0,151,57,123,26,225,20,28
"KANSAS CITY 33","CROSSROADS - QUALITY HILL",267,0,0,0.419475655430712,0.172284644194757,0.344569288389513,0.0561797752808989,0.569288389513109,0.052434456928839,0.0861423220973783,0,0,112,46,92,15,152,14,23
"KANSAS CITY 33","CROSSROADS PREPARATORY ACADEMY",447,0,0.0111856823266219,0.456375838926175,0.270693512304251,0.203579418344519,0.058165548098434,0.48993288590604,0.0939597315436242,0.12751677852349,0,5,204,121,91,26,219,42,57
"ST. LOUIS CITY","KAIROS ACADEMIES",412,0,0.0121359223300971,0.543689320388349,0.0461165048543689,0.274271844660194,0.121359223300971,0.633495145631068,0,0.114077669902913,0,5,224,19,113,50,261,0,47
"ST. LOUIS CITY","LAFAYETTE PREPARATORY ACADEMY",393,0,0,0.353689567430025,0.0483460559796438,0.501272264631043,0.089058524173028,0.256997455470738,0.0636132315521628,0.11704834605598,0,0,139,19,197,35,101,25,46
"KANSAS CITY 33","MIDDLE SCHOOL CAMPUS",115,0,0,0.382608695652174,0.2,0.304347826086957,0.104347826086957,0.130434782608696,0,0.130434782608696,0,0,44,23,35,12,15,0,15
"KANSAS CITY 33","PRIMARY GRADES CAMPUS",402,0,0,0.388059701492537,0.144278606965174,0.345771144278607,0.111940298507463,0.345771144278607,0.0223880597014925,0.141791044776119,0,0,156,58,139,45,139,9,57
