"dist","school","year","number tested","avg_tested","std_n","mean scale score","avg_score","std_score","% level 3+4","avg_perc_lev34","std_perc_lv34"
2,"Success Academy Hell's Kitchen (Manhattan 2)",2019,172,279.11320754717,-0.504512015794781,619.5,613.473455471698,0.84312478556473,95.93022919,75.1495607126415,1.49574306664356
2,"Success Academy Union Square (Manhattan 1)",2019,433,279.11320754717,0.7248194470358,620.6905518,613.473455471698,1.00968519615569,93.76443481,75.1495607126415,1.33985434096613
3,"Harlem Hebrew Language Charter School",2019,280,237.4375,0.281476324268467,597.9464111,605.69873619375,-0.571902000329154,39.2857132,56.223804385,-0.632898070737134
3,"Success Academy Charter School - Harlem 1",2019,464,237.4375,1.49831376721467,614.4569092,605.69873619375,0.646105084723733,84.26724243,56.223804385,1.04785348252433
3,"Success Academy Charter School - Harlem 4",2019,155,237.4375,-0.545179547298249,618.1548462,605.69873619375,0.918908087928045,97.4193573,56.223804385,1.53928714151346
3,"Success Academy Charter School - Upper West",2019,482,237.4375,1.61735221272028,621.244812,605.69873619375,1.14686003790411,91.70124817,56.223804385,1.32562786921917
4,"Success Academy Charter School - Harlem 3",2019,625,217.739130434783,3.27897469022615,617.6671753,597.938593330435,2.04925019764644,89.44000244,40.8696114073913,2.46215814598325
5,"Success Academy Charter School - Harlem 2",2019,393,179.181818181818,1.83912135271428,615.6717529,593.947534736364,2.24290981936947,85.75063324,34.3575461987273,2.7090701750788
5,"Success Academy Charter School - Harlem 5",2019,464,179.181818181818,2.4498159855671,616.8771362,593.947534736364,2.36735922506543,89.00862122,34.3575461987273,2.8808076319141
6,"Success Academy Charter School - Washington Height",2019,187,227.236842105263,-0.474358804237932,620.4117432,595.479519492105,2.87525864969135,92.5133667,38.7849533313421,3.09204342701854
7,"Success Academy Charter School - Bronx 1",2019,298,238,0.655789675232784,616.4597168,594.16654007037,3.38034914376748,89.93288422,34.068314022963,3.84953678166641
8,"Success Academy Charter School - Bronx 4 - New Yor",2019,172,325.777777777778,-0.891859611584317,615.2616577,594.4569024,2.93388860345449,91.860466,36.0955617955556,3.80199008935257
9,"Success Academy Charter School - Bronx 2",2019,461,265.547169811321,1.645602305805,616.6442261,592.375128983019,3.11395147004075,90.45552826,31.573938567717,4.27329608674488
9,"Success Academy Charter School - Bronx 3",2019,348,265.547169811321,0.694206204881539,613.7816162,592.375128983019,2.74665192596249,83.62068939,31.573938567717,3.77726175157592
13,"Brooklyn Prospect Charter School",2019,308,162.592592592593,1.36727641559468,606.5519409,597.35191062963,0.992147736940957,60.38961029,41.2271829534444,0.956608063557969
13,"Community Roots Charter School",2019,279,162.592592592593,1.09458730876569,607.111084,597.35191062963,1.05244672998643,64.15770721,41.2271829534444,1.14471533382344
13,"Compass Charter School",2019,115,162.592592592593,-0.44751660571553,596.3391113,597.35191062963,-0.109222093116754,48.69565201,41.2271829534444,0.372833649748802
