"prox_dist","school","year","total enrollment","perc_f","avg_f","std_f","perc_asian","avg_asian","std_asian","perc_black","avg_black","std_black","perc_hisp","avg_hisp","std_hisp","perc_white","avg_white","std_white","perc_mult","avg_mult","std_mult","econ_need","avg_econ","std_econ","perc_ell","avg_ell","std_ell","perc_swd","avg_swd","std_swd"
2,"Success Academy Charter School - Hudson Yards","2018-19",228,0.543859660625458,0.517210364592176,0.229268781790928,0.114035084843636,0.180331749215472,-0.321292173822157,0.263157904148102,0.165066741455832,0.801581423478962,0.421052634716034,0.358573745106574,0.276448956016143,0.153508767485619,0.24827631634754,-0.399571345647298,0.0482456125319004,0.0477514500150598,0.0146398625044372,0.59016740322113,0.556715054609695,0.117923983416458,0.0614035092294216,0.0954058807335418,-0.202581844744432,0.162280708551407,0.186813879085063,-0.335419119284545
2,"Success Academy Hell's Kitchen (Manhattan 2)","2018-19",458,0.504366815090179,0.517210364592176,-0.110495412130834,0.181222707033157,0.180331749215472,0.00431783071954506,0.203056767582893,0.165066741455832,0.310446918816396,0.4410480260849,0.358573745106574,0.364922120369887,0.148471608757973,0.24827631634754,-0.420809673695405,0.0262008737772703,0.0477514500150598,-0.638448814429985,0.589331865310669,0.556715054609695,0.114978601020694,0.0414847172796726,0.0954058807335418,-0.321255497191636,0.148471608757973,0.186813879085063,-0.524218038872694
2,"Success Academy Union Square (Manhattan 1)","2018-19",714,0.502801120281219,0.517210364592176,-0.123965371752218,0.198879554867744,0.180331749215472,0.0898878526410631,0.211484596133232,0.165066741455832,0.379317453335502,0.2843137383461,0.358573745106574,-0.328576603569734,0.246498599648476,0.24827631634754,-0.00749544186966045,0.0588235296308994,0.0477514500150598,0.328017034255058,0.399947911500931,0.556715054609695,-0.552625054788655,0.0266106445342302,0.0954058807335418,-0.409873348310329,0.162464991211891,0.186813879085063,-0.33289959464364
3,"Harlem Hebrew Language Charter School","2018-19",491,0.507128298282623,0.504369319839911,0.0397751131827001,0.00814663991332054,0.0614347478523004,-0.797883652898599,0.391038686037064,0.268567175985399,0.628170563681854,0.389002025127411,0.376218815588138,0.0659845848271382,0.197556003928185,0.247731431980025,-0.218888829783779,0.0142566189169884,0.0460478269960731,-0.901107971862289,0.686652362346649,0.587370794605125,0.351737976786983,0.0814663916826248,0.0664810584262754,0.269030559847495,0.213849291205406,0.211009575900706,0.0379892818899726
3,"Success Academy Charter School - Harlem 1","2018-19",1208,0.524006605148315,0.504369319839911,0.283103062224335,0.0132450331002474,0.0614347478523004,-0.721545333952152,0.673013269901276,0.268567175985399,2.07445087177323,0.217715233564377,0.376218815588138,-0.818166441011597,0.0149006620049477,0.247731431980025,-1.01571738909424,0.0811258256435394,0.0460478269960731,0.994270621599998,0.743687510490417,0.587370794605125,0.553803960133098,0.0173841062933207,0.0664810584262754,-0.881433885598634,0.132450327277184,0.211009575900706,-1.05095374740002
3,"Success Academy Charter School - Harlem 4","2018-19",418,0.521531105041504,0.504369319839911,0.247414745343026,0.0239234454929829,0.0614347478523004,-0.56165730233298,0.526315808296204,0.268567175985399,1.32202259593764,0.363636374473572,0.376218815588138,-0.0649482550141965,0.0358851663768291,0.247731431980025,-0.924173105689061,0.050239235162735,0.0460478269960731,0.118803642280977,0.74354350566864,0.587370794605125,0.553293775153028,0.0669856444001198,0.0664810584262754,0.00905879400293098,0.124401912093163,0.211009575900706,-1.15862422855257
3,"Success Academy Charter School - Upper West","2018-19",788,0.505076169967651,0.504369319839911,0.0101903818452593,0.125634521245956,0.0614347478523004,0.961264186171688,0.200507611036301,0.268567175985399,-0.349085393492586,0.37817257642746,0.376218815588138,0.0100849553813604,0.256345182657242,0.247731431980025,0.0375772340962849,0.0393401011824608,0.0460478269960731,-0.190127572021684,0.444061547517776,0.587370794605125,-0.507720675368498,0.0291878171265125,0.0664810584262754,-0.669522753599882,0.176395937800407,0.211009575900706,-0.463056015810274
4,"Success Academy Charter School - Harlem 3","2018-19",1108,0.510830342769623,0.51325158004103,-0.0223527665190353,0.0162454880774021,0.0655319243348364,-0.597751138733335,0.525270760059357,0.249962969072934,3.07566417099126,0.329422384500504,0.605130476170573,-1.75928613633385,0.0153429601341486,0.0488766886550805,-0.582892900462164,0.113718412816525,0.0304979464231894,3.20472806351022,0.769747495651245,0.82936722142943,-0.443191998127753,0.0225631762295961,0.111646152005113,-0.941274960798628,0.185018047690392,0.266588827659344,-0.999074742967182
5,"Success Academy Charter School - Harlem 2","2018-19",702,0.535612523555756,0.470753689606984,0.530314205351967,0.0113960113376379,0.0328391237115418,-0.38003087842343,0.653846144676208,0.494003027125641,0.989866084505097,0.303418815135956,0.39271877043777,-0.71150168890469,0.0242165233939886,0.0529253247228486,-0.382191709897732,0.00712250731885433,0.0275137555371556,-0.725363657266507,0.779262185096741,0.84340391225285,-0.445673058660234,0.0341880358755589,0.0900212839694211,-0.918036061519573,0.162393167614937,0.267694845933605,-1.21715081119365
5,"Success Academy Charter School - Harlem 5","2018-19",753,0.555112898349762,0.470753689606984,0.689757802057963,0.0119521915912628,0.0328391237115418,-0.370173835907341,0.666666686534882,0.494003027125641,1.06926030407081,0.273572385311127,0.39271877043777,-0.949304554050242,0.0199203193187714,0.0529253247228486,-0.439385793439154,0.0278884470462799,0.0275137555371556,0.013328639840752,0.80143666267395,0.84340391225285,-0.291599140102111,0.0571049153804779,0.0900212839694211,-0.541226140526865,0.131474107503891,0.267694845933605,-1.57453503997696
5,"Success Academy Charter School - Harlem 6","2018-19",227,0.550660789012909,0.470753689606984,0.653355408099136,0.00881057232618332,0.0328391237115418,-0.425851962671864,0.546255528926849,0.494003027125641,0.323585901952861,0.409691631793976,0.39271877043777,0.135232089195009,0.0220264308154583,0.0529253247228486,-0.411347759216357,0.0132158594205976,0.0275137555371556,-0.508609090885125,0.853700459003448,0.84340391225285,0.0715430295914665,0.0484581515192986,0.0900212839694211,-0.683400226954043,0.149779736995697,0.267694845933605,-1.36294570786835
