"dist","school","year","number tested","avg_tested","std_n","mean scale score","avg_score","std_score","% level 3+4","avg_perc_lev34","std_perc_lv34"
2,"Success Academy Hell's Kitchen (Manhattan 2)",2019,171,262.698113207547,-0.480560014691011,627.6724854,613.80569169434,1.84312268130342,99.41520691,75.0245835284906,1.52470728003929
2,"Success Academy Union Square (Manhattan 1)",2019,428,262.698113207547,0.866293475042787,631.8761597,613.80569169434,2.40185944566298,98.83177948,75.0245835284906,1.48823604943639
3,"Harlem Hebrew Language Charter School",2019,277,213.03125,0.519119017082543,597.1516113,603.8867225625,-0.461583944673397,39.35018158,52.3882054390625,-0.443558034308386
3,"Success Academy Charter School - Harlem 1",2019,415,213.03125,1.6390162224741,625.7373657,603.8867225625,1.49751142333974,97.34939575,52.3882054390625,1.5295950835849
3,"Success Academy Charter School - Harlem 4",2019,155,213.03125,-0.470935034060714,630.567749,603.8867225625,1.82855679007521,99.35483551,52.3882054390625,1.59782083063714
3,"Success Academy Charter School - Upper West",2019,455,213.03125,1.96362410809484,631.1472778,603.8867225625,1.86827420217577,97.80220032,52.3882054390625,1.54499965004115
4,"Success Academy Charter School - Harlem 3",2019,515,201.347826086957,2.56638858589884,630.2582397,595.72025996087,3.45177054018935,99.41747284,35.1669060247826,3.17590907163755
5,"Success Academy Charter School - Harlem 2",2019,311,174.045454545455,1.15468621100256,625.8778076,591.504613709091,3.44459818740245,98.39228058,28.2625571172727,3.35506463463705
5,"Success Academy Charter School - Harlem 5",2019,429,174.045454545455,2.14956354381458,628.4825439,591.504613709091,3.70562339111546,99.76689911,28.2625571172727,3.42082753499372
6,"Success Academy Charter School - Washington Height",2019,185,231.684210526316,-0.59131949697413,629.0919189,596.810617542105,4.14976239692448,100,38.9345020494737,3.55196763314096
7,"Success Academy Charter School - Bronx 1",2019,299,242.222222222222,0.600957433768378,625.3544922,592.157954462963,4.34394104749311,97.99330902,29.3607377115185,4.06398559501561
8,"Success Academy Charter School - Bronx 4 - New Yor",2019,173,331.666666666667,-0.915732822616199,621.5722656,595.309141369444,3.88451639380937,98.84393311,35.4355111130556,4.17750661406116
9,"Success Academy Charter School - Bronx 2",2019,409,268.150943396226,1.12210336994375,628.1051636,592.647649803774,4.75921728838056,99.26650238,29.1224038462453,4.38063636552003
9,"Success Academy Charter School - Bronx 3",2019,350,268.150943396226,0.652067571174278,621.2428589,592.647649803774,3.8381375038794,95.14286041,29.1224038462453,4.12310684629078
13,"Brooklyn Prospect Charter School",2019,305,157.814814814815,1.46761858824994,610.1114502,594.727774155556,1.67674374437277,65.57376862,34.1138872747778,1.53004919853921
13,"Community Roots Charter School",2019,277,157.814814814815,1.18842390965987,605.8483887,594.727774155556,1.21209136341062,60.64981842,34.1138872747778,1.29057321404695
13,"Compass Charter School",2019,113,157.814814814815,-0.446859207796283,595.4867554,594.727774155556,0.082725159450947,50.44247818,34.1138872747778,0.79413991278782
13,"Success Academy Fort Greene (Brooklyn 5)",2019,110,157.814814814815,-0.476772923359505,623.8909302,594.727774155556,3.1786381436021,100,34.1138872747778,3.20436663011764
13,"The International Charter School Of New York",2019,94,157.814814814815,-0.63631273969669,603.0213013,594.727774155556,0.903952977042496,53.19149017,34.1138872747778,0.927837924738936
14,"Success Academy Charter School - Bed-Stuy 1",2019,409,214.185185185185,1.14949184956033,625.772644,597.06399422963,4.42045285740628,98.28850555,39.9591269136296,3.66351842423764
14,"Success Academy Charter School - Bed-Stuy 2",2019,125,214.185185185185,-0.526231249760698,624.9520264,597.06399422963,4.29409716169182,98.40000153,39.9591269136296,3.67052120030877
14,"Success Academy Charter School - Williamsburg",2019,135,214.185185185185,-0.467226915277564,627.4888916,597.06399422963,4.68471438374481,100,39.9591269136296,3.77101299382056
15,"Brooklyn Prospect Charter School Downtown",2019,464,320.027777777778,0.65755902691909,612.7349243,604.914047244444,0.809907229140938,76.07758331,58.0251368947222,0.813332621396199
