"school_name","item_desc","n_tested","c_lev34","p_lev34","m_lev34","sds"
"ACADEMY OF THE CITY CHARTER SCHOOL","Grade 3 ELA",50,37,0.74,0.521283618581907,1.0644723033273
"ACADEMY OF THE CITY CHARTER SCHOOL","Grade 3 Math",49,37,0.76,0.545986145069275,1.00333461564129
"ACADEMY OF THE CITY CHARTER SCHOOL","Grade 4 ELA",76,48,0.63,0.474522425249169,0.75201755029605
"ACADEMY OF THE CITY CHARTER SCHOOL","Grade 4 Math",74,54,0.73,0.500103993344426,1.02320014997166
"ACADEMY OF THE CITY CHARTER SCHOOL","Grade 5 ELA",103,49,0.48,0.371087236785561,0.581677014840429
"ACADEMY OF THE CITY CHARTER SCHOOL","Grade 5 Math",103,71,0.69,0.457409793814433,1.03516972758255
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 3 ELA",54,51,0.94,0.521283618581907,2.03785371758221
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 3 Math",53,48,0.91,0.545986145069275,1.70656101374018
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 4 ELA",51,36,0.71,0.474522425249169,1.13896341126731
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 4 Math",53,39,0.74,0.500103993344426,1.06770723666954
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 5 ELA",74,54,0.73,0.371087236785561,1.91686721127122
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 5 Math",73,59,0.81,0.457409793814433,1.56924366537682
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 6 ELA",118,84,0.71,0.452651191203421,1.28089807981392
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 6 Math",119,91,0.76,0.45456322541234,1.34775436992152
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 7 ELA",102,68,0.67,0.376252587991718,1.47631972058882
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 7 Math",103,80,0.78,0.411087257617729,1.61093829381209
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 8 ELA",95,65,0.68,0.46215331010453,1.08409685507497
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 13","Grade 8 Math",63,36,0.57,0.299483163664839,1.21885566994489
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Grade 6 ELA",105,56,0.53,0.452651191203421,0.384986979837729
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Grade 6 Math",104,58,0.56,0.45456322541234,0.465244808496907
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Grade 7 ELA",106,62,0.58,0.376252587991718,1.02399650199567
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Grade 7 Math",106,72,0.68,0.411087257617729,1.17426639047544
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Grade 8 ELA",97,68,0.7,0.46215331010453,1.1836252762408
"BROOKLYN PROSPECT CHARTER SCHOOL-CSD 15","Grade 8 Math",95,70,0.74,0.299483163664839,1.98481710398263
