"district","subject","n_tested","p_prof"
"Rainier Valley Leadership Academy","ELA",103,0.262135922330097
"Rainier Valley Leadership Academy","Math",104,0.0865384615384615
"Seattle School District No. 1","ELA",26563,0.626811730602718
"Seattle School District No. 1","Math",26636,0.515805676528007
"Summit Public School: Atlas","ELA",284,0.507042253521127
"Summit Public School: Atlas","Math",283,0.328621908127208
"Summit Public School: Olympus","ELA",55,0.490909090909091
"Summit Public School: Olympus","Math",55,0.0727272727272727
"Summit Public School: Sierra","ELA",71,0.563380281690141
"Summit Public School: Sierra","Math",71,0.253521126760563
