Georgia Department of Education
FTE Enrollment by Race/Ethnicity and Gender - Fiscal Year 2023-3 Data Report
"March 2, 2023 (FTE 2023-3)"
 
System ID, System Name,School ID,  Gender,  Ethnic Hispanic,  Race AmericanIndian,  Race Asian,  Race Black,  Race Pacific Islander,  Race White,  Two or more Races 
"","State-Wide","State-Wide","Female","155469","1837","40036","313092","882","301714","39913"
"","State-Wide","State-Wide","Male","163545","1887","42674","321223","947","320779","40968"
"","State-Wide","State-Wide","Total","319014","3724","82710","634315","1829","622493","80881"
"601","Appling County","0103-Appling County High School","Female","98","*","*","131","*","270","17"
"601","Appling County","0103-Appling County High School","Male","89","*","*","121","*","291","21"
"601","Appling County","0103-Appling County High School","Total","187","*","*","252","*","561","38"
"601","Appling County","0177-Appling County Elementary School","Female","148","*","*","149","*","277","29"
"601","Appling County","0177-Appling County Elementary School","Male","126","*","*","136","*","300","32"
"601","Appling County","0177-Appling County Elementary School","Total","274","*","*","285","*","577","61"
"601","Appling County","0195-Appling County Middle School","Female","71","*","*","85","*","171","*"
"601","Appling County","0195-Appling County Middle School","Male","73","*","*","77","*","210","18"
"601","Appling County","0195-Appling County Middle School","Total","144","*","*","162","*","381","*"
"601","Appling County","1050-Altamaha Elementary School","Female","19","*","*","*","*","152","*"
"601","Appling County","1050-Altamaha Elementary School","Male","15","*","*","*","*","162","*"
"601","Appling County","1050-Altamaha Elementary School","Total","34","*","*","*","*","314","*"
"601","Appling County","5050-Fourth District Elementary School","Female","*","*","*","*","*","42","*"
"601","Appling County","5050-Fourth District Elementary School","Male","*","*","*","*","*","49","*"
"601","Appling County","5050-Fourth District Elementary School","Total","*","*","*","*","*","91","*"
"602","Atkinson County","0103-Atkinson County High School","Female","96","*","*","30","*","80","*"
"602","Atkinson County","0103-Atkinson County High School","Male","100","*","*","33","*","95","*"
"602","Atkinson County","0103-Atkinson County High School","Total","196","*","*","63","*","175","*"
"602","Atkinson County","0111-Atkinson County Middle School","Female","90","*","*","31","*","72","*"
"602","Atkinson County","0111-Atkinson County Middle School","Male","74","*","*","24","*","66","*"
"602","Atkinson County","0111-Atkinson County Middle School","Total","164","*","*","55","*","138","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Female","25","*","*","21","*","40","*"
"602","Atkinson County","0187-Willacoochee Elementary School","Male","21","*","*","26","*","35","*"
