Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2023 Data Report
 
System ID, System Name,KK-12 % FRL
601,Appling County,80.09
602,Atkinson County,85.22
761,Atlanta Public Schools,71.23
603,Bacon County,76.95
604,Baker County,*
605,Baldwin County,89.33
606,Banks County,52.03
607,Barrow County,51.79
608,Bartow County,53.83
609,Ben Hill County,81.23
610,Berrien County,63.99
611,Bibb County,*
612,Bleckley County,59.53
613,Brantley County,70.79
763,Bremen City,16.36
614,Brooks County,*
615,Bryan County,32.25
764,Buford City,31.47
616,Bulloch County,62.61
617,Burke County,*
618,Butts County,83.21
765,Calhoun City,60.65
619,Calhoun County,*
620,Camden County,45.37
621,Candler County,84.19
622,Carroll County,59.76
766,Carrollton City,52.5
767,Cartersville City,50.51
623,Catoosa County,43.97
624,Charlton County,71.25
626,Chattahoochee County,61.56
627,Chattooga County,73.54
628,Cherokee County,29.27
769,Chickamauga City,14.75
773,City Schools of Decatur,12.29
629,Clarke County,82.82
630,Clay County,*
631,Clayton County,90.35
632,Clinch County,74.45
633,Cobb County,41.78
634,Coffee County,85.5
635,Colquitt County,86
636,Columbia County,31.18
771,Commerce City,51.63
637,Cook County,74.03
638,Coweta County,38.13
639,Crawford County,64.35
640,Crisp County,*
641,Dade County,46.13
772,Dalton Public Schools,70.21
642,Dawson County,42.63
644,DeKalb County,77.52
643,Decatur County,*
891,Department of Juvenile Justice,*
645,Dodge County,78.1
646,Dooly County,*
647,Dougherty County,*
648,Douglas County,64.59
774,Dublin City,*
649,Early County,*
650,Echols County,84.63
651,Effingham County,39.34
652,Elbert County,77.06
653,Emanuel County,*
654,Evans County,*
655,Fannin County,52.78
656,Fayette County,27.78
657,Floyd County,51.37
658,Forsyth County,14
659,Franklin County,59.39
660,Fulton County,44.28
776,Gainesville City,69.4
661,Gilmer County,61.08
662,Glascock County,50
663,Glynn County,60.93
664,Gordon County,59.95
665,Grady County,*
666,Greene County,63.12
726,Griffin-Spalding County,90.78
667,Gwinnett County,54.77
668,Habersham County,59.1
669,Hall County,53.65
670,Hancock County,*
671,Haralson County,85.03
672,Harris County,30.88
673,Hart County,58.24
674,Heard County,55.09
675,Henry County,50.38
676,Houston County,59.09
677,Irwin County,74.84
678,Jackson County,38.83
679,Jasper County,56.41
680,Jeff Davis County,73.06
779,Jefferson City,19.21
681,Jefferson County,*
682,Jenkins County,93.23
683,Johnson County,94.48
684,Jones County,52.62
685,Lamar County,61.54
686,Lanier County,86.28
687,Laurens County,84.83
688,Lee County,45.19
689,Liberty County,70.25
690,Lincoln County,54.36
691,Long County,69.79
692,Lowndes County,49.59
693,Lumpkin County,42.44
694,Macon County,*
695,Madison County,55.31
781,Marietta City,61.97
696,Marion County,82.52
697,McDuffie County,89.72
698,McIntosh County,79.26
699,Meriwether County,*
700,Miller County,*
701,Mitchell County,*
702,Monroe County,47.46
703,Montgomery County,94.98
704,Morgan County,41.93
705,Murray County,68.33
706,Muscogee County,79.55
707,Newton County,73.2
708,Oconee County,11.62
709,Oglethorpe County,56.36
710,Paulding County,42.64
711,Peach County,81.99
784,Pelham City,*
712,Pickens County,44.46
713,Pierce County,60.33
714,Pike County,32.95
715,Polk County,78.09
716,Pulaski County,84.58
717,Putnam County,80.88
718,Quitman County,*
719,Rabun County,55.15
720,Randolph County,*
721,Richmond County,94.2
722,Rockdale County,70.95
785,Rome City,71.26
625,Savannah-Chatham County,69.03
723,Schley County,50.09
724,Screven County,79.25
725,Seminole County,*
786,Social Circle City,38.64
7830623,State Charter Schools II- Academy For Classical Education,14.89
7830643,State Charter Schools II- Amana Academy West Atlanta,15.66
7830410,State Charter Schools II- Atlanta Heights Charter School,*
7830627,State Charter Schools II- Atlanta SMART Academy,83.25
7830632,State Charter Schools II- Atlanta Unbound Academy,53.53
7830630,State Charter Schools II- Baconton Community Charter School,60.76
7830613,State Charter Schools II- Brookhaven Innovation Academy,24.95
7830611,State Charter Schools II- Cirrus Charter Academy,*
7830610,State Charter Schools II- Coweta Charter Academy,28.52
7830633,State Charter Schools II- D.E.L.T.A. STEAM Academy,#
7830637,State Charter Schools II- DeKalb Brilliance Academy,#
7830642,State Charter Schools II- Destinations Career Academy of Georgia (Virtual),57.33
7830628,State Charter Schools II- Ethos Classical Charter School,*
7830310,State Charter Schools II- Fulton Leadership Academy,57.71
7830626,State Charter Schools II- Furlow Charter School,65.1
7830615,State Charter Schools II- Genesis Innovation Academy for Boys,64.14
7830616,State Charter Schools II- Genesis Innovation Academy for Girls,59.48
7830634,State Charter Schools II- Georgia Fugees Academy Charter School,#
7830619,State Charter Schools II- International Academy of Smyrna,63.52
7830620,State Charter Schools II- International Charter Academy of Georgia,#
7830614,State Charter Schools II- Liberty Tech Charter Academy,6.47
7830636,State Charter Schools II- Northwest Classical Academy,15.16
7830210,State Charter Schools II- Pataula Charter Academy,66.61
7830617,State Charter Schools II- Resurgence Hall Charter School,71.22
7830641,State Charter Schools II- Resurgence Hall Middle Academy,61.04
7830618,State Charter Schools II- SAIL Charter Academy - School for Arts-Infused Learning,#
7830621,State Charter Schools II- SLAM Academy of Atlanta,*
7830612,State Charter Schools II- Southwest Georgia S.T.E.M. Charter Academy,*
7830624,State Charter Schools II- Spring Creek Charter Academy,63.92
7830103,State Charter Schools II- Statesboro STEAM Academy,64.92
7830625,State Charter Schools II- Yi Hwang Academy of Language Excellence,6.98
7820212,State Charter Schools- Cherokee Charter Academy,18.49
7820618,State Charter Schools- Coastal Plains Charter High School,58.39
7820617,State Charter Schools- Dubois Integrity Academy,*
7820613,State Charter Schools- Foothills Charter High School (Central Office - Athens),73.12
7820412,State Charter Schools- Georgia Connections Academy (Virtual),39.59
7820120,State Charter Schools- Georgia Cyber Academy (Virtual),56.06
7820616,State Charter Schools- Georgia School for Innovation and the Classics,#
7820614,State Charter Schools- International Charter School of Atlanta,#
7820612,State Charter Schools- Ivy Preparatory Academy  Inc,79.11
7820108,State Charter Schools- Mountain Education Charter High School,30.22
7820110,State Charter Schools- Odyssey Charter School,40.12
7820615,State Charter Schools- Scintilla Charter Academy,41.05
7820121,State Charter Schools- Utopian Academy for the Arts Charter School,68.46
799,State Schools,61.74
727,Stephens County,66.05
728,Stewart County,*
729,Sumter County,*
730,Talbot County,*
731,Taliaferro County,*
732,Tattnall County,78.42
733,Taylor County,*
734,Telfair County,89.18
735,Terrell County,*
736,Thomas County,87.56
745,Thomaston-Upson County,84.67
789,Thomasville City,73.82
737,Tift County,*
738,Toombs County,86.58
739,Towns County,59.13
740,Treutlen County,89.47
791,Trion City,51.49
741,Troup County,74.5
742,Turner County,*
743,Twiggs County,53.15
744,Union County,49.58
792,Valdosta City,94.65
793,Vidalia City,76.14
746,Walker County,68.48
747,Walton County,42.58
748,Ware County,88.01
749,Warren County,*
750,Washington County,85.53
751,Wayne County,75.19
752,Webster County,92.4
753,Wheeler County,89.45
754,White County,51.18
755,Whitfield County,68.68
756,Wilcox County,87.81
757,Wilkes County,80.08
758,Wilkinson County,89.09
759,Worth County,*
 ,State-Wide Total,59.31
 
Notice: 
-"*" indicates Free and Reduced Lunch (FRL) percentage is either greater than 95% or less than 5%.
-"NA" indicates school does not participate in the FRL program.
