Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Ada504 Pct,Ada504 Cnt,FARMS Pct,FARMS Cnt,English Learner Pct,English Learner Cnt,Migrant Pct,Migrant Cnt,Students with Disabilities Pct,Students with Disabilities Cnt,Title1 Pct,Title1 Cnt,Homeless Pct,Homeless Cnt,Foster Care Pct,Foster Care Cnt,Military Connected Pct,Military Connected Cnt,Economically Disadvantaged Pct,Economically Disadvantaged Cnt,Gifted Talented Pct,Gifted Talented Cnt,Total Student Cnt,Create Date
2022,01,Allegany,0301,Flintstone Elementary,Elementary,*,*,51.0,104,*,*,*,*,11.8,24,*,*,*,*,*,*,*,*,37.7,77,*,*,204,20220924
2022,01,Allegany,0401,South Penn Elementary,Elementary,*,*,66.9,333,*,*,*,*,22.3,111,>= 95.0,*,*,*,*,*,*,*,66.1,329,<= 5.0,*,498,20220924
2022,01,Allegany,0402,John Humbird Elementary,Elementary,*,*,78.1,185,*,*,*,*,14.8,35,>= 95.0,*,*,*,*,*,*,*,77.6,184,*,*,237,20220924
2022,01,Allegany,0405,Fort Hill High,High,<= 5.0,*,42.7,275,*,*,*,*,11.8,76,*,*,*,*,*,*,*,*,36.2,233,35.9,231,644,20220924
2022,01,Allegany,0406,Washington Middle,Middle,<= 5.0,*,54.2,322,*,*,*,*,12.3,73,*,*,*,*,*,*,*,*,46.3,275,18.2,108,594,20220924
2022,01,Allegany,0502,Northeast Elementary,Elementary,*,*,51.6,141,*,*,*,*,10.6,29,>= 95.0,*,*,*,*,*,*,*,42.5,116,<= 5.0,*,273,20220924
2022,01,Allegany,0504,Braddock Middle,Middle,*,*,49.9,307,*,*,*,*,11.2,69,*,*,*,*,*,*,*,*,42.3,260,12.0,74,615,20220924
2022,01,Allegany,0601,Center for Career & Technical Education,High,*,*,47.7,113,*,*,*,*,11.0,26,*,*,*,*,*,*,*,*,37.1,88,13.5,32,237,20220924
2022,01,Allegany,0603,West Side Elementary,Elementary,*,*,63.6,189,*,*,*,*,12.5,37,>= 95.0,*,*,*,*,*,*,*,51.2,152,*,*,297,20220924
2022,01,Allegany,0606,Allegany High,High,<= 5.0,*,38.2,277,*,*,*,*,6.1,44,*,*,*,*,*,*,*,*,31.0,225,22.1,160,725,20220924
2022,01,Allegany,0701,Cresaptown Elementary,Elementary,*,*,57.7,164,*,*,*,*,18.7,53,*,*,*,*,*,*,*,*,45.8,130,*,*,284,20220924
2022,01,Allegany,0702,Bel Air Elementary,Elementary,*,*,48.1,100,*,*,*,*,16.8,35,*,*,*,*,*,*,*,*,35.1,73,*,*,208,20220924
2022,01,Allegany,0801,Westernport Elementary,Elementary,*,*,53.5,145,*,*,*,*,20.3,55,>= 95.0,*,*,*,*,*,*,*,53.1,144,*,*,271,20220924
