SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,PREKINDERGARTEN_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,UNGRADED_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","","All Buildings","82","Wayne","LEA District","Elem thru High School","City: Large","Wayne Region","         3","48754","24720","24034","79","636","39933","6650","27","1209","220","8","297","3748","4228","3907","3910","3798","3863","3599","3397","3205","3975","3743","3371","3223","490","41094","6736","5872"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00005","A.L. Holmes Academy of Blended Learning","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","391","205","186","0","1","381","2","0","3","4","0","0","44","42","46","38","42","54","38","38","49","0","0","0","0","0","373","67","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03645","Academy of the Americas at Logan","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","449","216","233","0","0","18","410","0","19","2","0","0","121","115","111","102","0","0","0","0","0","0","0","0","0","0","320","27","305"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03276","Academy of The Americas High School","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","689","336","353","3","0","14","667","0","5","0","0","0","0","0","0","0","97","100","99","81","88","53","71","58","42","0","537","55","587"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00103","Ann Arbor Trail Magnet School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","150","77","73","0","0","146","1","0","3","0","0","0","0","17","15","15","19","20","18","23","23","0","0","0","0","0","137","15","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00168","Bagley Elementary School of Journalism and Technology","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","368","176","192","2","1","357","1","0","2","5","0","0","57","57","59","55","57","44","39","0","0","0","0","0","0","0","324","31","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03640","Barton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","146","70","76","0","1","143","2","0","0","0","0","0","20","32","22","32","23","17","0","0","0","0","0","0","0","0","135","<10","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02882","Bates Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","755","346","409","1","0","752","0","0","0","2","0","0","76","84","74","78","73","78","99","94","99","0","0","0","0","0","436","43","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00277","Bennett Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","398","203","195","2","0","44","309","0","40","3","0","0","80","58","63","62","67","68","0","0","0","0","0","0","0","0","355","19","259"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02058","Blackwell Institute","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","213","108","105","0","0","209","4","0","0","0","0","0","0","27","29","21","26","33","31","20","26","0","0","0","0","0","193","11","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04319","Bow Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","574","288","286","0","0","570","3","0","0","1","0","0","57","62","84","65","70","59","67","54","56","0","0","0","0","0","532","62","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09341","Brenda Scott Academy for Theatre Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","793","406","387","0","1","783","5","1","3","0","0","0","98","110","86","92","81","79","84","86","77","0","0","0","0","0","734","65","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09991","Brewer Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","468","246","222","0","1","466","1","0","0","0","0","0","32","49","53","47","44","49","65","54","75","0","0","0","0","0","436","49","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00446","Bunche Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","401","205","196","5","0","374","5","0","2","15","0","0","51","65","37","50","37","38","47","40","36","0","0","0","0","0","372","67","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00456","Burns Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","382","200","182","1","0","379","0","0","0","2","0","0","32","53","37","46","34","39","49","48","44","0","0","0","0","0","354","29","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00468","Burton International Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","501","239","262","2","0","491","6","0","2","0","0","0","70","58","48","47","53","55","56","58","56","0","0","0","0","0","427","60","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","05553","Carleton Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","392","207","185","0","0","388","0","0","2","2","0","0","59","86","75","67","56","49","0","0","0","0","0","0","0","0","378","40","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00542","Carstens Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","303","154","149","0","0","301","0","0","1","1","0","0","42","38","35","35","35","28","27","36","27","0","0","0","0","0","288","28","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00546","Carver STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","493","268","225","1","2","409","34","2","41","4","0","0","52","60","53","69","48","58","47","63","43","0","0","0","0","0","443","38","44"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00554","Cass Technical High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","2395","842","1553","5","226","1823","280","1","46","14","0","0","0","0","0","0","0","0","0","0","0","680","544","588","583","0","1490","29","216"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00617","Central High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","353","197","156","0","1","347","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","89","109","87","68","0","315","72","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00859","Charles R. Drew Transition Center","82","Wayne","LEA School","Other","City: Large","Wayne Region","         3","391","246","145","1","1","360","17","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","391","246","391","12"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09125","Charles Wright Academy of Arts and Science","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","618","319","299","0","0","606","8","0","1","3","0","0","69","94","81","62","69","64","83","45","51","0","0","0","0","0","557","64","11"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00689","Chrysler Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","136","65","71","0","0","132","2","0","1","1","0","0","23","24","24","18","21","26","0","0","0","0","0","0","0","0","106","<10","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07500","Clippert Academy","82","Wayne","LEA School","Middle School","City: Large","Wayne Region","         3","379","171","208","1","0","14","349","0","14","1","0","0","0","0","0","0","0","0","129","132","118","0","0","0","0","0","310","15","238"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00018","Cody High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","466","268","198","1","1","446","4","0","11","3","0","0","0","0","0","0","0","0","0","0","0","154","130","106","76","0","408","135","11"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03717","Coleman A. Young Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","416","231","185","3","0","412","0","0","0","1","0","0","71","82","79","69","55","60","0","0","0","0","0","0","0","0","387","48","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","306","130","176","2","0","303","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","71","80","79","0","223","19","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00781","Cooke STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","334","192","142","0","0","332","1","0","1","0","0","0","45","52","44","50","48","57","38","0","0","0","0","0","0","0","271","52","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00865","Crockett Midtown High School of Science and Medicine","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","206","72","134","0","17","175","5","0","8","1","0","0","0","0","0","0","0","0","0","0","0","47","37","50","72","0","171","18","30"
