SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","","All Districts","","All Buildings","82","Wayne","ISD","Elem thru High School","Suburb: Large","271155","139086","132069","623","10883","113016","23592","170","116498","6373","1373","22099","21162","20511","20983","20350","20498","20703","21084","20669","22514","20886","19397","18936","174925","33250","34460"
"19 - 20 School Year","82","Wayne RESA","82921","Academy for Business and Technology","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","561","289","272","0","0","470","57","0","21","13","0","42","46","48","44","57","36","41","40","50","57","48","34","17","518","84","44"
"19 - 20 School Year","82","Wayne RESA","82998","ACE Academy (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","156","142","14","0","0","117","6","1","29","3","0","0","0","0","0","0","0","4","3","13","22","39","37","38","156","34","<10"
"19 - 20 School Year","82","Wayne RESA","82717","Achieve Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","791","384","407","1","435","108","25","1","182","39","0","90","88","90","89","87","93","86","93","75","0","0","0","0","107","46","169"
"19 - 20 School Year","82","Wayne RESA","63914","Advanced Technology Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Small","1273","609","664","2","3","931","262","2","66","7","25","93","90","93","95","75","81","100","105","108","130","104","96","103","1187","99","227"
"19 - 20 School Year","82","Wayne RESA","82020","Allen Park Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3845","1982","1863","15","27","97","549","3","3062","92","0","313","251","257","260","282","283","292","310","293","311","338","330","310","1387","462","124"
"19 - 20 School Year","82","Wayne RESA","82730","American International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","739","389","350","0","2","719","3","1","7","7","0","78","90","67","63","61","63","53","59","58","56","46","24","21","694","81","<10"
"19 - 20 School Year","82","Wayne RESA","82981","American Montessori Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","465","247","218","4","9","262","8","1","141","40","0","72","65","46","50","60","44","49","42","37","0","0","0","0","279","44","11"
"19 - 20 School Year","82","Wayne RESA","82933","Barack Obama Leadership Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","391","193","198","0","0","385","2","0","2","2","0","40","56","40","60","41","50","35","34","35","0","0","0","0","389","31","<10"
"19 - 20 School Year","82","Wayne RESA","82705","Branch Line School","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Small","144","77","67","0","0","29","10","1","104","0","0","16","19","17","20","18","21","16","11","6","0","0","0","0","59","29","<10"
"19 - 20 School Year","82","Wayne RESA","82983","Bridge Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","874","440","434","0","130","22","2","0","720","0","0","104","83","86","81","78","83","113","119","127","0","0","0","0","860","34","597"
"19 - 20 School Year","82","Wayne RESA","82745","Caniff Liberty Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","474","231","243","1","165","100","1","0","207","0","0","53","56","50","53","54","54","46","52","56","0","0","0","0","472","29","286"
"19 - 20 School Year","82","Wayne RESA","82968","Canton Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Rural: Fringe","723","352","371","3","320","126","38","2","189","45","0","88","88","86","88","79","82","72","64","76","0","0","0","0","152","50","175"
"19 - 20 School Year","82","Wayne RESA","82711","Canton Preparatory High School","","All Buildings","82","Wayne","PSA District","High School","Suburb: Large","393","191","202","2","51","132","33","1","152","22","45","0","0","0","0","0","0","0","0","0","157","92","67","77","127","39","37"
"19 - 20 School Year","82","Wayne RESA","82752","Capstone Academy Charter School (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","172","109","63","0","0","120","5","1","44","2","0","0","0","0","0","0","0","10","9","20","44","40","29","20","171","24","<10"
"19 - 20 School Year","82","Wayne RESA","82918","Cesar Chavez Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","2279","1134","1145","3","1","125","2075","1","66","8","0","149","171","173","141","153","159","220","203","205","193","182","172","158","2228","325","1464"
"19 - 20 School Year","82","Wayne RESA","82923","Chandler Park Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","2307","1119","1188","1","1","2302","1","0","2","0","0","163","145","166","160","168","170","208","215","220","237","166","160","129","2155","107","<10"
"19 - 20 School Year","82","Wayne RESA","82996","Clara B. Ford Academy (SDA)","","All Buildings","82","Wayne","PSA District","Elem thru High School","Suburb: Large","127","0","127","0","1","65","7","0","52","2","0","0","0","0","0","0","0","8","6","12","22","31","29","19","127","47","<10"
"19 - 20 School Year","82","Wayne RESA","82919","Commonwealth Community Development Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","186","80","106","0","0","186","0","0","0","0","0","23","19","19","28","19","20","22","16","20","0","0","0","0","174","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82741","Cornerstone Health and Technology School","","All Buildings","82","Wayne","PSA District","High School","City: Large","532","266","266","6","0","524","2","0","0","0","0","0","0","0","0","0","0","0","0","0","136","164","139","93","472","73","<10"
"19 - 20 School Year","82","Wayne RESA","82760","Cornerstone Jefferson-Douglass Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","699","336","363","4","1","692","1","0","1","0","0","98","108","79","82","105","63","61","58","45","0","0","0","0","636","52","<10"
"19 - 20 School Year","82","Wayne RESA","82991","Covenant House Academy Detroit","","All Buildings","82","Wayne","PSA District","High School","City: Large","518","268","250","3","0","455","49","0","10","1","0","0","0","0","0","0","0","0","0","0","158","152","110","98","482","84","<10"
"19 - 20 School Year","82","Wayne RESA","82969","Creative Montessori Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","800","404","396","2","36","221","147","0","350","44","0","134","103","116","97","75","83","78","53","61","0","0","0","0","444","103","76"
"19 - 20 School Year","82","Wayne RESA","82230","Crestwood School District","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3890","2067","1823","2","27","213","80","0","3537","31","0","228","258","270","276","309","252","303","304","289","356","371","345","309","2946","339","993"
"19 - 20 School Year","82","Wayne RESA","82947","David Ellis Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","272","133","139","0","0","272","0","0","0","0","0","28","34","34","33","36","22","22","26","37","0","0","0","0","251","22","<10"
